schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	paper_matched	eligibility_status	terminal_status	genes_returned	cells_ad	cells_nci	donors_ad	donors_nci	message
mast_contrast_status_v1	astrocytes	1	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e2	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mast_contrast_status_v1	astrocytes	2	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e33	TRUE	eligible	validated_complete	8502	1828	3032	11	17	
mast_contrast_status_v1	astrocytes	3	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e4	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Female__e4	TRUE	eligible	validated_complete	8463	1133	1277	11	6	
mast_contrast_status_v1	astrocytes	4	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e2	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mast_contrast_status_v1	astrocytes	5	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e33	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e33	TRUE	eligible	validated_complete	8511	383	4284	8	24	
mast_contrast_status_v1	astrocytes	6	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e4	Ast CHI3L1	AD_vs_NCI	AD_vs_NCI__Male__e4	TRUE	eligible	validated_complete	7163	1577	391	9	5	
mast_contrast_status_v1	astrocytes	7	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e2	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e2	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	8	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e33	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e33	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	9	astrocytes::Ast.CHI3L1::AD_effect_Female_minus_Male__e4	Ast CHI3L1	sex_interaction	AD_effect_Female_minus_Male__e4	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	10	astrocytes::Ast.CHI3L1::AD_effect_e2_minus_e33__Female	Ast CHI3L1	apoe_interaction	AD_effect_e2_minus_e33__Female	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	11	astrocytes::Ast.CHI3L1::AD_effect_e4_minus_e33__Female	Ast CHI3L1	apoe_interaction	AD_effect_e4_minus_e33__Female	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	12	astrocytes::Ast.CHI3L1::AD_effect_e2_minus_e33__Male	Ast CHI3L1	apoe_interaction	AD_effect_e2_minus_e33__Male	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	13	astrocytes::Ast.CHI3L1::AD_effect_e4_minus_e33__Male	Ast CHI3L1	apoe_interaction	AD_effect_e4_minus_e33__Male	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	astrocytes	14	astrocytes::Ast.CHI3L1::AD_effect_heterogeneity_across_sex_APOE	Ast CHI3L1	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
