schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_name	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	latent_vars	min_pct	logfc_threshold	spearman_logfc_with_pseudobulk	overlap_genes	model_status	message
mast_model_diagnostics_v1	inhibitory	310	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e33	Inh ALCAM TRPM3	AD_vs_NCI__Female__e33	791	1098	21	24	10493	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.741360342032412	10484	fitted	
mast_model_diagnostics_v1	inhibitory	311	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e4	Inh ALCAM TRPM3	AD_vs_NCI__Female__e4	500	267	13	6	10121	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.627911563452418	10115	fitted	
mast_model_diagnostics_v1	inhibitory	313	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e33	Inh ALCAM TRPM3	AD_vs_NCI__Male__e33	540	1668	13	37	10065	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.671740543317818	10063	fitted	
mast_model_diagnostics_v1	inhibitory	314	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e4	Inh ALCAM TRPM3	AD_vs_NCI__Male__e4	625	240	18	7	10048	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.691591708882596	10043	fitted	
mast_model_diagnostics_v1	inhibitory	324	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e33	Inh CUX2 MSR1	AD_vs_NCI__Female__e33	1673	3363	22	39	7379	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.70958528481039	7379	fitted	
mast_model_diagnostics_v1	inhibitory	325	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e4	Inh CUX2 MSR1	AD_vs_NCI__Female__e4	1020	624	16	8	7625	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.740015310411327	7624	fitted	
mast_model_diagnostics_v1	inhibitory	327	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e33	Inh CUX2 MSR1	AD_vs_NCI__Male__e33	1506	4928	17	43	7840	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.666684115775036	7840	fitted	
mast_model_diagnostics_v1	inhibitory	328	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e4	Inh CUX2 MSR1	AD_vs_NCI__Male__e4	1300	484	18	6	6712	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.767405136888188	6712	fitted	
mast_model_diagnostics_v1	inhibitory	338	inhibitory::Inh.ENOX2.SPHKAP::AD_vs_NCI__Female__e33	Inh ENOX2 SPHKAP	AD_vs_NCI__Female__e33	896	1378	19	32	8598	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.740008333540676	8472	fitted	
mast_model_diagnostics_v1	inhibitory	339	inhibitory::Inh.ENOX2.SPHKAP::AD_vs_NCI__Female__e4	Inh ENOX2 SPHKAP	AD_vs_NCI__Female__e4	438	387	13	9	8830	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.666517448406191	8596	fitted	
