schema_version	manifest_row	contrast_id	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason
yu_mast_contrast_manifest_v2	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	astrocytes	Ast CHI3L1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	105	1104	6	16	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	astrocytes	Ast CHI3L1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	1974	3186	35	43	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	astrocytes	Ast CHI3L1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1193	1298	22	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	astrocytes	Ast CHI3L1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	262	466	6	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	466	4424	25	52	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1655	412	24	9	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	560	936	8	17	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2867	4084	37	45	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1824	916	26	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	659	305	7	6	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	11	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	astrocytes	Ast DPP10	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	1859	5177	27	53	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	12	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	astrocytes	Ast DPP10	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	1565	979	27	10	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	13	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	astrocytes	Ast GRM3	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	957	2720	8	17	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	14	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	astrocytes	Ast GRM3	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	9577	10462	37	45	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	15	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	astrocytes	Ast GRM3	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	5204	1797	26	11	yu_all_cohort_included_nuclei	estimable	
