schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_name	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	latent_vars	min_pct	logfc_threshold	spearman_logfc_with_pseudobulk	overlap_genes	model_status	message
mast_model_diagnostics_v1	astrocytes	2	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	AD_vs_NCI__Female__e33	1828	3032	11	17	8502	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.796006320997322	8502	fitted	
mast_model_diagnostics_v1	astrocytes	3	astrocytes::Ast.CHI3L1::AD_vs_NCI__Female__e4	Ast CHI3L1	AD_vs_NCI__Female__e4	1133	1277	11	6	8463	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.831650212082399	8463	fitted	
mast_model_diagnostics_v1	astrocytes	5	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e33	Ast CHI3L1	AD_vs_NCI__Male__e33	383	4284	8	24	8511	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.832176516382173	8511	fitted	
mast_model_diagnostics_v1	astrocytes	6	astrocytes::Ast.CHI3L1::AD_vs_NCI__Male__e4	Ast CHI3L1	AD_vs_NCI__Male__e4	1577	391	9	5	7163	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.778490503951982	7163	fitted	
mast_model_diagnostics_v1	astrocytes	15	astrocytes::Ast.DPP10::AD_vs_NCI__Female__e2	Ast DPP10	AD_vs_NCI__Female__e2	531	912	5	13	6410	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.720457605664187	6410	fitted	
mast_model_diagnostics_v1	astrocytes	16	astrocytes::Ast.DPP10::AD_vs_NCI__Female__e33	Ast DPP10	AD_vs_NCI__Female__e33	2805	4015	31	40	6655	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.822007861576306	6655	fitted	
mast_model_diagnostics_v1	astrocytes	17	astrocytes::Ast.DPP10::AD_vs_NCI__Female__e4	Ast DPP10	AD_vs_NCI__Female__e4	1741	916	19	11	7029	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.786795488854562	7029	fitted	
mast_model_diagnostics_v1	astrocytes	19	astrocytes::Ast.DPP10::AD_vs_NCI__Male__e33	Ast DPP10	AD_vs_NCI__Male__e33	1818	5140	22	46	6562	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.791846860796574	6562	fitted	
mast_model_diagnostics_v1	astrocytes	20	astrocytes::Ast.DPP10::AD_vs_NCI__Male__e4	Ast DPP10	AD_vs_NCI__Male__e4	1535	950	22	8	6878	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.788471610261653	6878	fitted	
mast_model_diagnostics_v1	astrocytes	29	astrocytes::Ast.GRM3::AD_vs_NCI__Female__e2	Ast GRM3	AD_vs_NCI__Female__e2	950	2703	6	16	7470	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.604724553785314	7470	fitted	
mast_model_diagnostics_v1	astrocytes	30	astrocytes::Ast.GRM3::AD_vs_NCI__Female__e33	Ast GRM3	AD_vs_NCI__Female__e33	9568	10427	36	41	7333	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.82349109027022	7333	fitted	
mast_model_diagnostics_v1	astrocytes	31	astrocytes::Ast.GRM3::AD_vs_NCI__Female__e4	Ast GRM3	AD_vs_NCI__Female__e4	5183	1775	24	8	8368	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.838168595609483	8368	fitted	
mast_model_diagnostics_v1	astrocytes	32	astrocytes::Ast.GRM3::AD_vs_NCI__Male__e2	Ast GRM3	AD_vs_NCI__Male__e2	1411	1183	7	5	6983	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.86689096945748	6983	fitted	
mast_model_diagnostics_v1	astrocytes	33	astrocytes::Ast.GRM3::AD_vs_NCI__Male__e33	Ast GRM3	AD_vs_NCI__Male__e33	5927	14368	27	45	6799	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.829725842638852	6799	fitted	
mast_model_diagnostics_v1	astrocytes	34	astrocytes::Ast.GRM3::AD_vs_NCI__Male__e4	Ast GRM3	AD_vs_NCI__Male__e4	4899	2144	24	10	6756	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.869873526477126	6756	fitted	
