schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	excitatory_set3	1	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	Exc L5 ET	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	26	140	6	16	14178	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	2	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	Exc L5 ET	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	322	364	35	41	13173	69	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	3	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	Exc L5 ET	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	173	119	24	11	13661	15	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	4	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	Exc L5 ET	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	51	43	7	5	13660	112	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	5	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	Exc L5 ET	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	280	511	24	50	13054	2932	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	6	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	Exc L5 ET	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	203	75	25	10	13646	66	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	7	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	266	899	8	16	12026	354	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	8	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	2433	2664	37	45	11858	322	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	9	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	Exc L5-6 RORB LINC02196	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	1237	683	26	11	12189	622	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	excitatory_set3	10	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	363	318	7	6	11684	474	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
