schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_family	contrast_name	paper_matched	eligibility_status	terminal_status	genes_returned	cells_ad	cells_nci	donors_ad	donors_nci	message
mast_contrast_status_v1	inhibitory	309	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e2	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mast_contrast_status_v1	inhibitory	310	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e33	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e33	TRUE	eligible	validated_complete	10493	791	1098	21	24	
mast_contrast_status_v1	inhibitory	311	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Female__e4	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Female__e4	TRUE	eligible	validated_complete	10121	500	267	13	6	
mast_contrast_status_v1	inhibitory	312	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e2	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:AD__Male__e2,NCI__Male__e2
mast_contrast_status_v1	inhibitory	313	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e33	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e33	TRUE	eligible	validated_complete	10065	540	1668	13	37	
mast_contrast_status_v1	inhibitory	314	inhibitory::Inh.ALCAM.TRPM3::AD_vs_NCI__Male__e4	Inh ALCAM TRPM3	AD_vs_NCI	AD_vs_NCI__Male__e4	TRUE	eligible	validated_complete	10048	625	240	18	7	
mast_contrast_status_v1	inhibitory	315	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e2	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e2	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	316	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e33	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e33	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	317	inhibitory::Inh.ALCAM.TRPM3::AD_effect_Female_minus_Male__e4	Inh ALCAM TRPM3	sex_interaction	AD_effect_Female_minus_Male__e4	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	318	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e2_minus_e33__Female	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e2_minus_e33__Female	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	319	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Female	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e4_minus_e33__Female	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	320	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e2_minus_e33__Male	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e2_minus_e33__Male	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	321	inhibitory::Inh.ALCAM.TRPM3::AD_effect_e4_minus_e33__Male	Inh ALCAM TRPM3	apoe_interaction	AD_effect_e4_minus_e33__Male	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	322	inhibitory::Inh.ALCAM.TRPM3::AD_effect_heterogeneity_across_sex_APOE	Inh ALCAM TRPM3	global_heterogeneity	AD_effect_heterogeneity_across_sex_APOE	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	323	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e2	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:AD__Female__e2
mast_contrast_status_v1	inhibitory	324	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e33	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e33	TRUE	eligible	validated_complete	7379	1673	3363	22	39	
mast_contrast_status_v1	inhibitory	325	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Female__e4	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Female__e4	TRUE	eligible	validated_complete	7625	1020	624	16	8	
mast_contrast_status_v1	inhibitory	326	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e2	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e2	TRUE	ineligible	ineligible	0	0	0	0	0	fewer_than_5_eligible_donors_in_required_group:NCI__Male__e2
mast_contrast_status_v1	inhibitory	327	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e33	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e33	TRUE	eligible	validated_complete	7840	1506	4928	17	43	
mast_contrast_status_v1	inhibitory	328	inhibitory::Inh.CUX2.MSR1::AD_vs_NCI__Male__e4	Inh CUX2 MSR1	AD_vs_NCI	AD_vs_NCI__Male__e4	TRUE	eligible	validated_complete	6712	1300	484	18	6	
mast_contrast_status_v1	inhibitory	329	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e2	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e2	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	330	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e33	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e33	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	331	inhibitory::Inh.CUX2.MSR1::AD_effect_Female_minus_Male__e4	Inh CUX2 MSR1	sex_interaction	AD_effect_Female_minus_Male__e4	FALSE	eligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
mast_contrast_status_v1	inhibitory	332	inhibitory::Inh.CUX2.MSR1::AD_effect_e2_minus_e33__Female	Inh CUX2 MSR1	apoe_interaction	AD_effect_e2_minus_e33__Female	FALSE	ineligible	not_applicable	0	0	0	0	0	Interaction/omnibus rows are primary pseudobulk tests, not paper-style MAST rows
