schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	contrast_name	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	latent_vars	min_pct	logfc_threshold	spearman_logfc_with_pseudobulk	overlap_genes	model_status	message
mast_model_diagnostics_v1	excitatory_set2	57	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e2	Exc L3-4 RORB CUX2	AD_vs_NCI__Female__e2	2049	7715	8	16	11871	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.722342100836685	11871	fitted	
mast_model_diagnostics_v1	excitatory_set2	58	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e33	Exc L3-4 RORB CUX2	AD_vs_NCI__Female__e33	18247	20834	36	45	12076	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.81368530236088	12076	fitted	
mast_model_diagnostics_v1	excitatory_set2	59	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Female__e4	Exc L3-4 RORB CUX2	AD_vs_NCI__Female__e4	9656	4753	25	11	12373	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.850960108015152	12373	fitted	
mast_model_diagnostics_v1	excitatory_set2	60	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e2	Exc L3-4 RORB CUX2	AD_vs_NCI__Male__e2	2069	3138	7	5	12118	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.612837304369774	12118	fitted	
mast_model_diagnostics_v1	excitatory_set2	61	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e33	Exc L3-4 RORB CUX2	AD_vs_NCI__Male__e33	12039	30612	27	52	11784	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.795738108982313	11784	fitted	
mast_model_diagnostics_v1	excitatory_set2	62	excitatory_set2::Exc.L3.4.RORB.CUX2::AD_vs_NCI__Male__e4	Exc L3-4 RORB CUX2	AD_vs_NCI__Male__e4	11361	4290	26	10	11792	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.723582414245901	11792	fitted	
mast_model_diagnostics_v1	excitatory_set2	71	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e2	Exc L3-5 RORB PLCH1	AD_vs_NCI__Female__e2	507	1258	7	13	12232	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.796711339765571	12232	fitted	
mast_model_diagnostics_v1	excitatory_set2	72	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e33	Exc L3-5 RORB PLCH1	AD_vs_NCI__Female__e33	3897	3972	35	44	11709	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.827262129359839	11709	fitted	
mast_model_diagnostics_v1	excitatory_set2	73	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Female__e4	Exc L3-5 RORB PLCH1	AD_vs_NCI__Female__e4	2398	1115	22	11	11828	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.743447818056092	11828	fitted	
mast_model_diagnostics_v1	excitatory_set2	74	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Male__e2	Exc L3-5 RORB PLCH1	AD_vs_NCI__Male__e2	715	577	6	5	11620	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.787394481679685	11620	fitted	
mast_model_diagnostics_v1	excitatory_set2	75	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Male__e33	Exc L3-5 RORB PLCH1	AD_vs_NCI__Male__e33	2403	6042	24	50	11202	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.7408149031868	11202	fitted	
mast_model_diagnostics_v1	excitatory_set2	76	excitatory_set2::Exc.L3.5.RORB.PLCH1::AD_vs_NCI__Male__e4	Exc L3-5 RORB PLCH1	AD_vs_NCI__Male__e4	2218	959	24	8	11250	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.857679828288894	11250	fitted	
mast_model_diagnostics_v1	excitatory_set2	85	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Female__e2	Exc L4-5 RORB GABRG1	AD_vs_NCI__Female__e2	991	2612	8	16	11080	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.747674193313002	11080	fitted	
mast_model_diagnostics_v1	excitatory_set2	86	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Female__e33	Exc L4-5 RORB GABRG1	AD_vs_NCI__Female__e33	8741	9737	35	45	10995	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.659281675173757	10995	fitted	
mast_model_diagnostics_v1	excitatory_set2	87	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Female__e4	Exc L4-5 RORB GABRG1	AD_vs_NCI__Female__e4	4241	2234	24	11	10995	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.741644148267292	10995	fitted	
mast_model_diagnostics_v1	excitatory_set2	88	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Male__e2	Exc L4-5 RORB GABRG1	AD_vs_NCI__Male__e2	1238	1325	6	5	10791	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.822411872636542	10791	fitted	
mast_model_diagnostics_v1	excitatory_set2	89	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Male__e33	Exc L4-5 RORB GABRG1	AD_vs_NCI__Male__e33	5277	12044	26	51	10407	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.764360993041193	10407	fitted	
mast_model_diagnostics_v1	excitatory_set2	90	excitatory_set2::Exc.L4.5.RORB.GABRG1::AD_vs_NCI__Male__e4	Exc L4-5 RORB GABRG1	AD_vs_NCI__Male__e4	4597	2201	25	10	10463	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.629664085661293	10463	fitted	
mast_model_diagnostics_v1	excitatory_set2	99	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Female__e2	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Female__e2	1430	4989	8	16	11874	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.797537705814773	11874	fitted	
mast_model_diagnostics_v1	excitatory_set2	100	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Female__e33	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Female__e33	12683	13885	37	45	11857	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.822617241634857	11857	fitted	
mast_model_diagnostics_v1	excitatory_set2	101	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Female__e4	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Female__e4	6763	4054	25	11	11934	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.756580666736755	11934	fitted	
mast_model_diagnostics_v1	excitatory_set2	102	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Male__e2	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Male__e2	1690	1855	7	5	11811	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.75053069448658	11811	fitted	
mast_model_diagnostics_v1	excitatory_set2	103	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Male__e33	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Male__e33	7405	17980	27	52	11543	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.789898851801861	11543	fitted	
mast_model_diagnostics_v1	excitatory_set2	104	excitatory_set2::Exc.L4.5.RORB.IL1RAPL2::AD_vs_NCI__Male__e4	Exc L4-5 RORB IL1RAPL2	AD_vs_NCI__Male__e4	6924	2820	26	10	11592	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	0.745982738562879	11592	fitted	
