schema_version	manifest_row	contrast_id	rds_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	contrast_kind	numerator	denominator	cells_ad_expected	cells_nci_expected	donors_ad_expected	donors_nci_expected	analysis_population	modeling_status	modeling_reason
yu_mast_contrast_manifest_v2	1	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	excitatory_set3	Exc L5 ET	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	26	140	6	16	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	2	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	excitatory_set3	Exc L5 ET	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	322	364	35	41	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	3	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	excitatory_set3	Exc L5 ET	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	173	119	24	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	4	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	excitatory_set3	Exc L5 ET	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	51	43	7	5	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	5	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	excitatory_set3	Exc L5 ET	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	single_df	AD	NCI	280	511	24	50	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	6	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	excitatory_set3	Exc L5 ET	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	single_df	AD	NCI	203	75	25	10	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	7	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	single_df	AD	NCI	266	899	8	16	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	8	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	single_df	AD	NCI	2433	2664	37	45	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	9	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	excitatory_set3	Exc L5-6 RORB LINC02196	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	single_df	AD	NCI	1237	683	26	11	yu_all_cohort_included_nuclei	estimable	
yu_mast_contrast_manifest_v2	10	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	single_df	AD	NCI	363	318	7	6	yu_all_cohort_included_nuclei	estimable	
