schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	astrocytes	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	Ast CHI3L1	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	105	1104	6	16	8300	200	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	1974	3186	35	43	8465	941	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	Ast CHI3L1	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	1193	1298	22	11	8448	1671	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	Ast CHI3L1	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	262	466	6	5	6843	425	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	Ast CHI3L1	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	466	4424	25	52	8438	645	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	Ast CHI3L1	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	1655	412	24	9	7185	1000	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	Ast DPP10	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	560	936	8	17	6381	317	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	Ast DPP10	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	2867	4084	37	45	6650	301	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	Ast DPP10	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	1824	916	26	11	6979	534	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	astrocytes	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	Ast DPP10	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	659	305	7	6	6336	1125	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
