schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	immune	1	immune::CAMs::AD_vs_NCI__Female__e2	CAMs	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	23	85	6	12	4213	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	2	immune::CAMs::AD_vs_NCI__Female__e33	CAMs	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	185	255	29	38	4381	1	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	3	immune::CAMs::AD_vs_NCI__Female__e4	CAMs	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	139	65	24	11	4232	2	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	4	immune::CAMs::AD_vs_NCI__Male__e2	CAMs	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	45	1	5	1	0	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	NA	NA	not_estimable	seurat_min_cells_group_not_met:min_cells_group=3,arms=NCI(1)
yu_mast_model_diagnostics_v2	immune	5	immune::CAMs::AD_vs_NCI__Male__e33	CAMs	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	119	397	24	50	4037	13	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	6	immune::CAMs::AD_vs_NCI__Male__e4	CAMs	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	137	65	22	9	4492	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	7	immune::Mic MKI67::AD_vs_NCI__Female__e2	Mic MKI67	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	16	8	5	3	9155	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	8	immune::Mic MKI67::AD_vs_NCI__Female__e33	Mic MKI67	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	62	120	13	23	8126	7	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	9	immune::Mic MKI67::AD_vs_NCI__Female__e4	Mic MKI67	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	54	45	8	8	7665	9	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	immune	10	immune::Mic MKI67::AD_vs_NCI__Male__e2	Mic MKI67	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	2	9	2	3	0	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	NA	NA	not_estimable	seurat_min_cells_group_not_met:min_cells_group=3,arms=AD(2)
