schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_family	contrast_name	analysis_population	manifest_modeling_status	terminal_status	genes_returned	paper_degs	cells_ad	cells_nci	donors_ad	donors_nci	message
yu_mast_contrast_status_v2	vasculature	1	vasculature::End::AD_vs_NCI__Female__e2	End	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4981	0	51	215	7	15	
yu_mast_contrast_status_v2	vasculature	2	vasculature::End::AD_vs_NCI__Female__e33	End	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5186	47	730	747	36	44	
yu_mast_contrast_status_v2	vasculature	3	vasculature::End::AD_vs_NCI__Female__e4	End	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	5930	64	445	220	25	11	
yu_mast_contrast_status_v2	vasculature	4	vasculature::End::AD_vs_NCI__Male__e2	End	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4924	155	87	126	7	5	
yu_mast_contrast_status_v2	vasculature	5	vasculature::End::AD_vs_NCI__Male__e33	End	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5089	31	390	1170	27	51	
yu_mast_contrast_status_v2	vasculature	6	vasculature::End::AD_vs_NCI__Male__e4	End	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	5540	64	432	143	25	10	
yu_mast_contrast_status_v2	vasculature	7	vasculature::Fib FLRT2::AD_vs_NCI__Female__e2	Fib FLRT2	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	5417	0	84	141	6	17	
yu_mast_contrast_status_v2	vasculature	8	vasculature::Fib FLRT2::AD_vs_NCI__Female__e33	Fib FLRT2	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5638	14	341	423	36	45	
yu_mast_contrast_status_v2	vasculature	9	vasculature::Fib FLRT2::AD_vs_NCI__Female__e4	Fib FLRT2	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	5583	1	170	111	26	10	
yu_mast_contrast_status_v2	vasculature	10	vasculature::Fib FLRT2::AD_vs_NCI__Male__e2	Fib FLRT2	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	4901	0	72	16	6	5	
yu_mast_contrast_status_v2	vasculature	11	vasculature::Fib FLRT2::AD_vs_NCI__Male__e33	Fib FLRT2	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	5449	4	225	666	26	48	
yu_mast_contrast_status_v2	vasculature	12	vasculature::Fib FLRT2::AD_vs_NCI__Male__e4	Fib FLRT2	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	5299	18	212	131	27	10	
yu_mast_contrast_status_v2	vasculature	13	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e2	Fib SLC4A4	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	estimable	validated_complete	6135	0	36	7	3	4	
yu_mast_contrast_status_v2	vasculature	14	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e33	Fib SLC4A4	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	estimable	validated_complete	6168	1	57	55	9	8	
yu_mast_contrast_status_v2	vasculature	15	vasculature::Fib SLC4A4::AD_vs_NCI__Female__e4	Fib SLC4A4	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	estimable	validated_complete	6690	0	15	37	9	3	
yu_mast_contrast_status_v2	vasculature	16	vasculature::Fib SLC4A4::AD_vs_NCI__Male__e2	Fib SLC4A4	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	not_estimable	not_estimable	0	0	0	11	0	2	zero_cells_in_arm:AD
