schema_version	check_id	stage_id	scope_type	scope_id	blocking	passed	observed	expected	details
phase13_checks_v1	definitions_frozen	definitions	global	phase13	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	module_membership_count	definitions	global	phase13	TRUE	TRUE	273	273	
phase13_checks_v1	module_sizes	definitions	global	phase13	TRUE	TRUE	19|155|13|86	13|86|155|19	
phase13_checks_v1	mrpl13_not_rpl13	definitions	gene	MRPL13	TRUE	TRUE	MRPL13	MRPL13	
phase13_checks_v1	strict_nuclear_oxphos_exclusions	definitions	module	nuclear_oxphos_structural_86	TRUE	TRUE		none	
phase13_checks_v1	contrast_vectors_hand_verified	definitions	global	contrasts	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	required_global_inputs_exist	input_validation	global	phase13	TRUE	TRUE	3	3	
phase13_checks_v1	phase02_status_validated	input_validation	global	phase02	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase03_status_validated	input_validation	global	phase03	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	cohort_fields_complete	input_validation	global	phase02	TRUE	TRUE	projid|diagnosis|sex|apoe_group|age_death_scaled|pmi_scaled|study	projid|diagnosis|sex|apoe_group|age_death_scaled|pmi_scaled|study	
phase13_checks_v1	cohort_key_unique	input_validation	global	phase02	TRUE	TRUE	0	0	
phase13_checks_v1	source_files_exist__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__astrocytes	input_validation	rds	astrocytes	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__excitatory_set1	input_validation	rds	excitatory_set1	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__excitatory_set2	input_validation	rds	excitatory_set2	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__excitatory_set3	input_validation	rds	excitatory_set3	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__inhibitory	input_validation	rds	inhibitory	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__immune	input_validation	rds	immune	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__immune	input_validation	rds	immune	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__immune	input_validation	rds	immune	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__immune	input_validation	rds	immune	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__immune	input_validation	rds	immune	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__immune	input_validation	rds	immune	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__opcs	input_validation	rds	opcs	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__opcs	input_validation	rds	opcs	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__opcs	input_validation	rds	opcs	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__opcs	input_validation	rds	opcs	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__opcs	input_validation	rds	opcs	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__opcs	input_validation	rds	opcs	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__oligodendrocytes	input_validation	rds	oligodendrocytes	TRUE	TRUE	11	11	
phase13_checks_v1	source_files_exist__vasculature	input_validation	rds	vasculature	TRUE	TRUE	7	7	
phase13_checks_v1	phase07_status_validated__vasculature	input_validation	rds	vasculature	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	phase04_status_validated__vasculature	input_validation	rds	vasculature	TRUE	TRUE	validated_complete	validated_complete	
phase13_checks_v1	sample_columns_match__vasculature	input_validation	rds	vasculature	TRUE	TRUE	TRUE	TRUE	
phase13_checks_v1	feature_order_match__vasculature	input_validation	rds	vasculature	TRUE	TRUE	33538	33538	
phase13_checks_v1	phase07_conservation__vasculature	input_validation	rds	vasculature	TRUE	TRUE	11	11	
phase13_checks_v1	excitatory_barcodes_pairwise_disjoint	input_validation	context	excitatory_neurons	TRUE	TRUE	0	0	
phase13_checks_v1	donor_context_keys_unique	broad_aggregation	global	phase13	TRUE	TRUE	0	0	
phase13_checks_v1	study_has_two_levels	broad_aggregation	global	study	TRUE	TRUE	MAP|ROS	MAP|ROS	
phase13_checks_v1	design_full_rank__astrocytes	primary_models	context	astrocytes	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__astrocytes	primary_models	context	astrocytes	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__excitatory_neurons	primary_models	context	excitatory_neurons	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__excitatory_neurons	primary_models	context	excitatory_neurons	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__inhibitory_neurons	primary_models	context	inhibitory_neurons	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__inhibitory_neurons	primary_models	context	inhibitory_neurons	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__immune_cells	primary_models	context	immune_cells	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__immune_cells	primary_models	context	immune_cells	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__opcs	primary_models	context	opcs	TRUE	TRUE	15	15	
