schema_version	test_id	context_id	contrast_id	module_id	primary_estimate	bootstrap_planned	bootstrap_successful	bootstrap_median	bootstrap_ci_low	bootstrap_ci_high	bootstrap_same_direction_fraction	bootstrap_valid	loo_planned	loo_successful	loo_sign_reversals	loo_largest_change_donor	loo_largest_absolute_change	loo_minimum_estimate	loo_maximum_estimate	balance_planned	balance_successful	balance_same_direction_fraction	balance_valid	threshold50_estimate	threshold50_status	threshold50_agrees	pc1_estimate	pc1_status	pc1_agrees	qc_adjusted_estimate	qc_adjusted_same_direction	severe_qc_exclusion_estimate	severe_qc_exclusion_status	severe_qc_same_direction	omission_units	omission_successful	omission_sign_reversals	omission_fraction_retain_half_magnitude	most_influential_omission	stability_status
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e2::mtdna_oxphos_13	astrocytes	sex_F_minus_M__e2	mtdna_oxphos_13	0.626425955190596	1000	1000	0.575450705124702	-0.899275408334145	1.972677608601	0.784	TRUE	272	272	0	50102114	0.481404532501342	0.145021422689254	0.937532758587101	1000	1000	0.93	TRUE	0.289645851307359	estimated	FALSE	0.646622850291767	estimated	TRUE	0.208387039820772	TRUE	0.598179371599943	estimated	TRUE	13	13	0	1	gene:MT-ND4	evaluated
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e33::mtdna_oxphos_13	astrocytes	sex_F_minus_M__e33	mtdna_oxphos_13	0.0841151879388021	1000	1000	0.0889269198976209	-0.600306840419804	0.719047101374548	0.611	TRUE	272	272	0	10102206	0.108795690216635	0.0151411883696247	0.192910878155437	1000	1000	0.663	TRUE	0.263458304005396	estimated	TRUE	0.0695218572867258	estimated	TRUE	0.329589449754022	TRUE	0.133038620818376	estimated	TRUE	13	13	0	1	gene:MT-ND6	evaluated
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e4::mtdna_oxphos_13	astrocytes	sex_F_minus_M__e4	mtdna_oxphos_13	-0.374359408321094	1000	1000	-0.395819252138292	-1.31258471697701	0.630594264792369	0.771	TRUE	272	272	0	10100862	0.203028651559155	-0.525288292489977	-0.171330756761939	1000	1000	0.815	TRUE	-0.386330814165085	estimated	TRUE	-0.362977623148453	estimated	TRUE	-0.43866853276571	TRUE	-0.54951617764099	estimated	TRUE	13	13	0	1	gene:MT-ND2	evaluated
phase13_stability_summary_v1	astrocytes::apoe_e2_minus_e33__Female::mtdna_oxphos_13	astrocytes	apoe_e2_minus_e33__Female	mtdna_oxphos_13	-0.462414060455081	1000	1000	-0.450376304097945	-1.52456573832039	0.545388980184961	0.805	TRUE	272	272	0	20532115	0.306892897953499	-0.674130318911081	-0.155521162501582	1000	1000	0.808	TRUE	-0.596400078434659	estimated	TRUE	-0.44000690769679	estimated	TRUE	-0.0854663680889142	TRUE	-0.316801456624079	estimated	TRUE	13	13	0	1	gene:MT-ND6	evaluated
phase13_stability_summary_v1	astrocytes::apoe_e2_minus_e33__Male::mtdna_oxphos_13	astrocytes	apoe_e2_minus_e33__Male	mtdna_oxphos_13	-1.00472482770688	1000	1000	-0.953572274900262	-2.30355874014691	0.255847690963545	0.936	TRUE	272	272	0	50102114	0.468211660514382	-1.28416111963837	-0.536513167192494	1000	1000	0.931	TRUE	-0.622587625736623	estimated	TRUE	-1.01710790070183	estimated	TRUE	0.0357360418443358	FALSE	-0.781942207405647	estimated	TRUE	13	13	0	1	gene:MT-ND5	evaluated
phase13_stability_summary_v1	astrocytes::apoe_e4_minus_e33__Female::mtdna_oxphos_13	astrocytes	apoe_e4_minus_e33__Female	mtdna_oxphos_13	-0.42606480904586	1000	1000	-0.447322433640702	-1.20851789279541	0.311200640060794	0.89	TRUE	272	272	0	20947550	0.150511644161012	-0.576576453206872	-0.32809476660876	1000	1000	0.843	TRUE	-0.526185296396714	estimated	TRUE	-0.424347622500509	estimated	TRUE	-0.454960351550285	TRUE	-0.614606557031167	estimated	TRUE	13	13	0	1	gene:MT-ATP6	evaluated
phase13_stability_summary_v1	astrocytes::apoe_e4_minus_e33__Male::mtdna_oxphos_13	astrocytes	apoe_e4_minus_e33__Male	mtdna_oxphos_13	0.0324097872140365	1000	1000	-0.0103329112006063	-0.925466637523437	1.00050672719182	0.492	TRUE	272	272	19	10100862	0.206326094067105	-0.173916306853068	0.181120437627254	1000	1000	0.54	TRUE	0.123603821773767	estimated	TRUE	0.00815185793466927	estimated	FALSE	0.313297630969447	TRUE	0.0679482414281986	estimated	TRUE	13	13	0	0.846153846153846	gene:MT-ND6	evaluated
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e2::nuclear_oxphos_structural_86	astrocytes	sex_F_minus_M__e2	nuclear_oxphos_structural_86	0.919094627057327	1000	1000	0.809695359830025	-0.823130415502004	2.67279864383476	0.835	TRUE	272	272	0	34726040	0.602107400018871	0.316987227038456	1.31143918047326	1000	1000	0.98	TRUE	1.01297884698047	estimated	TRUE	0.842323832737791	estimated	TRUE	1.02243212673835	TRUE	0.902415602356035	estimated	TRUE	5	5	0	1	complex_I	evaluated
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e33::nuclear_oxphos_structural_86	astrocytes	sex_F_minus_M__e33	nuclear_oxphos_structural_86	0.298460257553795	1000	1000	0.291851644784714	-0.487755483758184	1.03931514543121	0.774	TRUE	272	272	0	10102206	0.195443603241281	0.103016654312514	0.44125098497444	1000	1000	0.946	TRUE	0.0606184990240311	estimated	FALSE	0.239224973003154	estimated	TRUE	0.39709864871105	TRUE	0.0468135821360548	estimated	TRUE	5	5	0	1	complex_IV	evaluated
phase13_stability_summary_v1	astrocytes::sex_F_minus_M__e4::nuclear_oxphos_structural_86	astrocytes	sex_F_minus_M__e4	nuclear_oxphos_structural_86	-0.0938522086368284	1000	1000	-0.0355859171674238	-0.921953262496278	0.8485723662376	0.528	TRUE	272	272	3	15218541	0.214463264316061	-0.308315472952889	0.0216587471616254	1000	1000	0.583	TRUE	-0.160442986223653	estimated	TRUE	0.10438122172343	estimated	FALSE	-0.134501754502794	TRUE	-0.0793748758348344	estimated	TRUE	5	5	0	0.6	complex_IV	evaluated
phase13_stability_summary_v1	astrocytes::apoe_e2_minus_e33__Female::nuclear_oxphos_structural_86	astrocytes	apoe_e2_minus_e33__Female	nuclear_oxphos_structural_86	0.106846524506313	1000	1000	0.110455154553858	-0.961166426411933	1.32571367821552	0.582	TRUE	272	272	2	21189544	0.440664541007013	-0.3338180165007	0.300846966576354	1000	1000	0.575	TRUE	0.178183774061863	estimated	TRUE	0.00267844831285974	estimated	FALSE	0.187048096020008	TRUE	0.149733467759945	estimated	TRUE	5	5	0	1	complex_III	evaluated
