schema_version	context_id	check_id	passed	observed	expected
phase13_count_conservation_v1	astrocytes	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	astrocytes	total_umi_conserved	TRUE	537316743	537316743
phase13_count_conservation_v1	astrocytes	nuclei_conserved	TRUE	99034	99034
phase13_count_conservation_v1	astrocytes	donor_columns_match	TRUE	276	276
phase13_count_conservation_v1	excitatory_neurons	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	excitatory_neurons	total_umi_conserved	TRUE	11486641720	11486641720
phase13_count_conservation_v1	excitatory_neurons	nuclei_conserved	TRUE	700456	700456
phase13_count_conservation_v1	excitatory_neurons	donor_columns_match	TRUE	276	276
phase13_count_conservation_v1	inhibitory_neurons	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	inhibitory_neurons	total_umi_conserved	TRUE	2230114840	2230114840
phase13_count_conservation_v1	inhibitory_neurons	nuclei_conserved	TRUE	226971	226971
phase13_count_conservation_v1	inhibitory_neurons	donor_columns_match	TRUE	275	275
phase13_count_conservation_v1	immune_cells	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	immune_cells	total_umi_conserved	TRUE	159337098	159337098
phase13_count_conservation_v1	immune_cells	nuclei_conserved	TRUE	55905	55905
phase13_count_conservation_v1	immune_cells	donor_columns_match	TRUE	276	276
phase13_count_conservation_v1	opcs	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	opcs	total_umi_conserved	TRUE	428196809	428196809
phase13_count_conservation_v1	opcs	nuclei_conserved	TRUE	61883	61883
phase13_count_conservation_v1	opcs	donor_columns_match	TRUE	276	276
phase13_count_conservation_v1	oligodendrocytes	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	oligodendrocytes	total_umi_conserved	TRUE	1773276795	1773276795
phase13_count_conservation_v1	oligodendrocytes	nuclei_conserved	TRUE	447617	447617
phase13_count_conservation_v1	oligodendrocytes	donor_columns_match	TRUE	276	276
phase13_count_conservation_v1	vasculature	gene_wise_counts_conserved	TRUE	0	0
phase13_count_conservation_v1	vasculature	total_umi_conserved	TRUE	38053722	38053722
phase13_count_conservation_v1	vasculature	nuclei_conserved	TRUE	12904	12904
phase13_count_conservation_v1	vasculature	donor_columns_match	TRUE	274	274
