schema_version	artifact_role	artifact_id	path	bytes	records	sha256	canonical_content_sha256	output_schema	validation_status
phase13_artifacts_v1	control	respiratory_analysis_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_analysis_manifest.tsv	977	1	6112d01597ac787e4757395bd1ce3f818c4840f7002d09d013572656e554a132	6112d01597ac787e4757395bd1ce3f818c4840f7002d09d013572656e554a132	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_cell_context_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_cell_context_manifest.tsv	839	7	dc01397475bbce1deb8140f7f381cfaac8f4cd20b44fddb3d4bfff363466e3bd	dc01397475bbce1deb8140f7f381cfaac8f4cd20b44fddb3d4bfff363466e3bd	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_contrast_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_contrast_manifest.tsv	1883	7	a9b5ed5c62a90afd2b526bcb83d05b887df0c45a5cddf014d9b253842d972b13	a9b5ed5c62a90afd2b526bcb83d05b887df0c45a5cddf014d9b253842d972b13	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_module_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_manifest.tsv	1014	4	55e58b749e4a4d4a1cbcb5a830c49a60db161e7d30a144dea0204f94cb750077	55e58b749e4a4d4a1cbcb5a830c49a60db161e7d30a144dea0204f94cb750077	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_module_members	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_members.tsv	55405	273	4c4f445687ccd86d6b84b27d98d16bc4586a84304932963449291812ef55dd33	4c4f445687ccd86d6b84b27d98d16bc4586a84304932963449291812ef55dd33	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_input_inventory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_input_inventory.tsv	17431	66	cdc3a56bbcacf9d4fea25a910d312afb02a7db3b27f9b7c9f75615cbfd82da85	cdc3a56bbcacf9d4fea25a910d312afb02a7db3b27f9b7c9f75615cbfd82da85	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_source_identity_checks	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_source_identity_checks.tsv	915	9	1202ebb63ffefba21a4a48c5277534980c34e9803f2ec43ab24ce15b37794a54	1202ebb63ffefba21a4a48c5277534980c34e9803f2ec43ab24ce15b37794a54	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_test_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_test_manifest.tsv	55835	196	4e47479b99aa78fe1dc30630a64b756c4280df83fb5eeda789a06b10aac5339a	4e47479b99aa78fe1dc30630a64b756c4280df83fb5eeda789a06b10aac5339a	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_donor_samples	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_donor_samples.tsv.gz	117861	1929	a7590a0197d8ff09ef1a02e7cf6f3bef955f4b75af08241ec3d1b45d68f216cd	a7590a0197d8ff09ef1a02e7cf6f3bef955f4b75af08241ec3d1b45d68f216cd	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_pseudobulk_counts	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_pseudobulk_counts.rds	150280172	NA	8b6da34c2dc83d546b4c2cf3cb8564e597e64ce311822119b8f93a6c834faa97	8b6da34c2dc83d546b4c2cf3cb8564e597e64ce311822119b8f93a6c834faa97	rds_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_count_conservation	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_count_conservation.tsv	2332	28	19c0cdfdc2db95c37e2e06c5394160bf6f42229445c672877369fb04eb63c63d	19c0cdfdc2db95c37e2e06c5394160bf6f42229445c672877369fb04eb63c63d	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_qc_summary	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_qc_summary.tsv	16009	168	4dd873e5cfe219b5e92ba2ccea82cff4fec2b7bb4d126ff3e59dfd885c622381	4dd873e5cfe219b5e92ba2ccea82cff4fec2b7bb4d126ff3e59dfd885c622381	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_expression_bundle	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_expression_bundle.rds	87262617	NA	4999ac90ac73a938cdd5cafcb4865416a15f94df920914cbdd700d694b8fb648	4999ac90ac73a938cdd5cafcb4865416a15f94df920914cbdd700d694b8fb648	rds_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_gene_stratum_effects	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_gene_stratum_effects.tsv.gz	51893505	803664	58f47df8c9d88a92e6229ada8f09064e6dadbfdff9c12ccbcfe6fd286aa8a65c	58f47df8c9d88a92e6229ada8f09064e6dadbfdff9c12ccbcfe6fd286aa8a65c	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_gene_interaction_results	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_gene_interaction_results.tsv.gz	59379786	937608	493862942bbfdfde4b4e711da109a1a4ee972f274533e7bfb824d5542f4c863d	493862942bbfdfde4b4e711da109a1a4ee972f274533e7bfb824d5542f4c863d	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_gene_model_diagnostics	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_gene_model_diagnostics.tsv	36561	7	edf1b05a1ceb1b2bb0be68a3c43c9a1ff0bdb9feec56660f76c336f42e861332	edf1b05a1ceb1b2bb0be68a3c43c9a1ff0bdb9feec56660f76c336f42e861332	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_module_coverage	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_coverage.tsv	27491	28	6e4523e334e8005d9c4b915b51202789b9fe01876ae8c3e63b67a7fb77587c4e	6e4523e334e8005d9c4b915b51202789b9fe01876ae8c3e63b67a7fb77587c4e	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_nci_reference_parameters	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_nci_reference_parameters.tsv.gz	46726	1911	1716f1a80c9302bac3927d18fb11b0bd264338ad79814803b0ac0a6d1f220e50	1716f1a80c9302bac3927d18fb11b0bd264338ad79814803b0ac0a6d1f220e50	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_donor_module_scores	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_donor_module_scores.tsv.gz	276618	7102	94471610265f656fa0833af7ef7dd80c364d76f66776698346256b36d0d97d8a	94471610265f656fa0833af7ef7dd80c364d76f66776698346256b36d0d97d8a	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_pc1_loadings	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_pc1_loadings.tsv.gz	44121	1607	6dbbb3bc5017b063465b251be1b3ed24dfe3a586590cd9a4900bb26565ab26e4	6dbbb3bc5017b063465b251be1b3ed24dfe3a586590cd9a4900bb26565ab26e4	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_module_stratum_effects	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_stratum_effects.tsv	30049	168	d5a29493972fdf5e4c5a9179f3434aed74a59468d4d0b1ed3aec88dba84385f3	d5a29493972fdf5e4c5a9179f3434aed74a59468d4d0b1ed3aec88dba84385f3	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_module_results	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_results.tsv	102621	196	326ebdcc995be6dadb68af354b14b11ebb60a40cf60531a368ccf77c7f25f74c	326ebdcc995be6dadb68af354b14b11ebb60a40cf60531a368ccf77c7f25f74c	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_camera_results	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_camera_results.tsv	51004	196	9ee3241eb58736cdf8c6cefea26c38062cc4f435b9042123b20ca0eaa08858c3	9ee3241eb58736cdf8c6cefea26c38062cc4f435b9042123b20ca0eaa08858c3	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_module_reliability	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_reliability.tsv	4318	28	8ed5ef0918ee2d6059be74d2690e8b0d4d09f1c57719a64799ad7d01e5243979	8ed5ef0918ee2d6059be74d2690e8b0d4d09f1c57719a64799ad7d01e5243979	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_stability_replicates	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_stability_replicates.tsv.gz	25305871	410540	628edd942a231dc2b102673de12165b26b2e0c21664a12a0609bee34e52b182a	628edd942a231dc2b102673de12165b26b2e0c21664a12a0609bee34e52b182a	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_stability_summary	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_stability_summary.tsv	96439	196	ff6b31b660f345645a4d1ca7ccabe329af61079142aaaf6580578ee4c6e80c44	ff6b31b660f345645a4d1ca7ccabe329af61079142aaaf6580578ee4c6e80c44	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_gate_decisions	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_gate_decisions.tsv	205576	196	442be9981ab129ab272fbadb4fbc78f72d7a9cd4ff1ee7fd95cdb3557f8c59aa	442be9981ab129ab272fbadb4fbc78f72d7a9cd4ff1ee7fd95cdb3557f8c59aa	tsv_v1	validated_complete
phase13_artifacts_v1	scientific	respiratory_claim_summary	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_claim_summary.tsv	329	5	2c9b6b39fac655fe8292439cb98b11a4d6923191c7973f437533182248b655b5	2c9b6b39fac655fe8292439cb98b11a4d6923191c7973f437533182248b655b5	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_stage_status	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_stage_status.tsv	1769	9	a76a1e34a653b043dffb4cdfc6044fd57e4acaaa24d3f81395fd4520afed7929	a76a1e34a653b043dffb4cdfc6044fd57e4acaaa24d3f81395fd4520afed7929	tsv_v1	validated_complete
phase13_artifacts_v1	control	respiratory_checks	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_checks.tsv	10030	89	da9dc74f525aa3946de6f4026930c2c5326aa9b66d79c2ff2e8ff180a1079787	da9dc74f525aa3946de6f4026930c2c5326aa9b66d79c2ff2e8ff180a1079787	tsv_v1	validated_complete
