schema_version	conclusion_type	scientific_decision	passing_test_ids	allowed_wording
phase13_claim_summary_v1	sex	not_supported		
phase13_claim_summary_v1	apoe	not_supported		
phase13_claim_summary_v1	overall	inconclusive		
phase13_claim_summary_v1	supporting_modules	not_supported		
phase13_claim_summary_v1	provisional	absent		
