schema_version	contrast_order	contrast_id	modifier	group_1	group_2	group_3	group_4	coefficients	positive_estimate_meaning
phase13_contrast_manifest_v1	1	sex_F_minus_M__e2	sex	AD__Female__e2	NCI__Female__e2	AD__Male__e2	NCI__Male__e2	AD__Female__e2=1;NCI__Female__e2=-1;AD__Male__e2=-1;NCI__Male__e2=1	AD effect is more positive, or less negative, in females
phase13_contrast_manifest_v1	2	sex_F_minus_M__e33	sex	AD__Female__e33	NCI__Female__e33	AD__Male__e33	NCI__Male__e33	AD__Female__e33=1;NCI__Female__e33=-1;AD__Male__e33=-1;NCI__Male__e33=1	AD effect is more positive, or less negative, in females
phase13_contrast_manifest_v1	3	sex_F_minus_M__e4	sex	AD__Female__e4	NCI__Female__e4	AD__Male__e4	NCI__Male__e4	AD__Female__e4=1;NCI__Female__e4=-1;AD__Male__e4=-1;NCI__Male__e4=1	AD effect is more positive, or less negative, in females
phase13_contrast_manifest_v1	4	apoe_e2_minus_e33__Female	apoe	AD__Female__e2	NCI__Female__e2	AD__Female__e33	NCI__Female__e33	AD__Female__e2=1;NCI__Female__e2=-1;AD__Female__e33=-1;NCI__Female__e33=1	AD effect is more positive, or less negative, in the first APOE group
phase13_contrast_manifest_v1	5	apoe_e2_minus_e33__Male	apoe	AD__Male__e2	NCI__Male__e2	AD__Male__e33	NCI__Male__e33	AD__Male__e2=1;NCI__Male__e2=-1;AD__Male__e33=-1;NCI__Male__e33=1	AD effect is more positive, or less negative, in the first APOE group
phase13_contrast_manifest_v1	6	apoe_e4_minus_e33__Female	apoe	AD__Female__e4	NCI__Female__e4	AD__Female__e33	NCI__Female__e33	AD__Female__e4=1;NCI__Female__e4=-1;AD__Female__e33=-1;NCI__Female__e33=1	AD effect is more positive, or less negative, in the first APOE group
phase13_contrast_manifest_v1	7	apoe_e4_minus_e33__Male	apoe	AD__Male__e4	NCI__Male__e4	AD__Male__e33	NCI__Male__e33	AD__Male__e4=1;NCI__Male__e4=-1;AD__Male__e33=-1;NCI__Male__e33=1	AD effect is more positive, or less negative, in the first APOE group
