schema_version	input_id	source_phase	rds_id	path	bytes	sha256	validation_status
phase13_input_inventory_v1	phase02_cohort	02	NA	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/02_cohort/global_cohort_276.tsv	275962	dafc3939e746fe06977b6b929bd869915c61223627125500b59e52c93722ec30	validated_complete
phase13_input_inventory_v1	phase02_status	02	NA	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/02_cohort/cohort_status.tsv	1219	47bf8c23171b5337aa442038b840927130a88df4602ea6aa10a81a2d6e6a8f90	validated_complete
phase13_input_inventory_v1	phase03_status	03	NA	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/03_annotations/annotation_status.tsv	935	1d473be15f1071c659257654dedbc0199c5c2a9e0e3b41b0182b93444cd0675b	validated_complete
phase13_input_inventory_v1	astrocytes__counts	07	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Astrocytes.pseudobulk_counts.rds	40615076	072e797500cd4b2444afbe9fcaa8f2b54461e8a45f60587a45652b72cc61025d	validated_complete
phase13_input_inventory_v1	astrocytes__samples	07	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Astrocytes.pseudobulk_samples.tsv	255375	3269c35735306b624e45091cb5d14344d1633795ea0d1ee647c9d7e26383e33d	validated_complete
phase13_input_inventory_v1	astrocytes__conservation	07	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Astrocytes.pseudobulk_count_conservation.tsv	933	08423c147924202bc80a86291146cbbd5f50dd3c579fe556b55c930149835c64	validated_complete
phase13_input_inventory_v1	astrocytes__manifest	07	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Astrocytes.pseudobulk_manifest.tsv	807	f33833cb1bad89e213ce0facaa268ebdfcb3028763d744fc3d2af7ee06b77653	validated_complete
phase13_input_inventory_v1	astrocytes__status	07	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Astrocytes.pseudobulk_status.tsv	1304	d4aef7738ed6b84ffeed5265dfdc694f2b9934d0f4da12e1bb002fe1527e4ea5	validated_complete
phase13_input_inventory_v1	astrocytes__qc	04	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/astrocytes_cell_qc.tsv.gz	5875273	acda6ff57333db62f57c1cb2fd6581b55cd9964720ccaa38962f600003b2b292	validated_complete
phase13_input_inventory_v1	astrocytes__qc_status	04	astrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/astrocytes_qc_status.tsv	1317	55d0c25fc08088d45abe93dc823a2792e215fd0914cf4aa53c07d9d3b69514ed	validated_complete
phase13_input_inventory_v1	excitatory_set1__counts	07	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set1.pseudobulk_counts.rds	26981219	f5f82c3c80b0bf60bc1dab5cfad621f31ff23b89a95abe46e9033e28295130cf	validated_complete
phase13_input_inventory_v1	excitatory_set1__samples	07	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set1.pseudobulk_samples.tsv	96748	4d9115eaef19f1356e8c1ad12d37da8256c3a6d87af24a75f13c5f23a367a75b	validated_complete
phase13_input_inventory_v1	excitatory_set1__conservation	07	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set1.pseudobulk_count_conservation.tsv	992	ce4b107a20afe01c95cd1f53437c35b45b7e928c9e45bee5d30e5a8f91ff8548	validated_complete
phase13_input_inventory_v1	excitatory_set1__manifest	07	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set1.pseudobulk_manifest.tsv	899	07fb077d431fd313fe251ca116924ed67e88a7c1e51537ec14489037a36161d6	validated_complete
phase13_input_inventory_v1	excitatory_set1__status	07	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set1.pseudobulk_status.tsv	1324	0609573fefdb77bcb22f89149eaf4696c8c2c4a69b99a1d5b8bdcac7ef8981b9	validated_complete
phase13_input_inventory_v1	excitatory_set1__qc	04	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set1_cell_qc.tsv.gz	11862875	36e57a3934a25e7b11f3ded9fb61f5c796f5abe60db2a76fccd33e77ebf9b38c	validated_complete
