schema_version	context_id	module_id	stratum_order	stratum_id	estimate	robust_se	ci_low	ci_high	p_value	model_status	failure_reason
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	1	Female__e2	-0.0454949684853466	0.541591542606936	-1.11201734182997	1.02102740485927	0.933119949608108	estimated	
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	2	Female__e33	0.416919091969734	0.218597484967685	-0.0135512720110079	0.847389455950477	0.0576036234271077	estimated	
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	3	Female__e4	-0.00914571707612521	0.34657645334187	-0.691637064308617	0.673345630156367	0.978967751328425	estimated	
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	4	Male__e2	-0.671920923675943	0.749928598514491	-2.14870843936865	0.804866592016764	0.371101966160139	estimated	
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	5	Male__e33	0.332803904030932	0.279828707726174	-0.218245279746065	0.883853087807929	0.235414188732034	estimated	
phase13_module_stratum_v1	astrocytes	mtdna_oxphos_13	6	Male__e4	0.365213691244969	0.406753027534053	-0.435779622281657	1.16620700477159	0.370092155370619	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	1	Female__e2	0.110236279283242	0.598864174498399	-1.06906950829003	1.28954206685652	0.854099309205536	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	2	Female__e33	0.00338975477692882	0.211596202565071	-0.413293421374866	0.420072930928723	0.987230927253661	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	3	Female__e4	-0.0308523816086645	0.334199476372552	-0.688970521703155	0.627265758485826	0.926517891761304	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	4	Male__e2	-0.808858347774085	0.851677217163674	-2.48601305850074	0.868296362952575	0.343144715581234	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	5	Male__e33	-0.295070502776866	0.351269662268752	-0.986803893005832	0.3966628874521	0.401682788597635	estimated	
phase13_module_stratum_v1	astrocytes	nuclear_oxphos_structural_86	6	Male__e4	0.0629998270281639	0.343867855604683	-0.614157647978046	0.740157302034373	0.854778164080683	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	1	Female__e2	0.128310667867878	0.391713412757948	-0.643066072312732	0.899687408048488	0.743509067097258	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	2	Female__e33	-0.112995436775287	0.18167813789038	-0.470762838154936	0.244771964604363	0.534523501553918	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	3	Female__e4	-0.80547776043122	0.314250495032978	-1.42431161846015	-0.186643902402284	0.0109421205244364	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	4	Male__e2	0.0040661454171767	0.71391545599095	-1.40180293966097	1.40993523049532	0.995460046948318	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	5	Male__e33	-0.779300869913934	0.428833378655069	-1.62377563879807	0.0651738989702028	0.0703421734370349	estimated	
phase13_module_stratum_v1	astrocytes	mitochondrial_translation_155	6	Male__e4	-0.218870264113306	0.281753740025034	-0.773710293674679	0.335969765448068	0.437982872685999	estimated	
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	1	Female__e2	0.0480194733802179	0.381497898018725	-0.703240492132588	0.799279438893024	0.8999325505141	estimated	
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	2	Female__e33	-0.347683283337097	0.235020492069497	-0.810494448703641	0.115127882029447	0.140264985439612	estimated	
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	3	Female__e4	-0.607622333195377	0.395761083466205	-1.38696989830709	0.17172523191634	0.125933893033658	estimated	
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	4	Male__e2	-0.487271836638777	0.632157751902677	-1.73214058522031	0.75759691194276	0.441529174675901	estimated	
