schema_version	test_id	context_id	contrast_order	contrast_id	modifier	module_order	module_id	module_role	module_genes	background_genes	inter_gene_correlation	direction	p_value	q_value	camera_status	failure_reason
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e2::mtdna_oxphos_13	astrocytes	1	sex_F_minus_M__e2	sex	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Up	0.482453167437743	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e33::mtdna_oxphos_13	astrocytes	2	sex_F_minus_M__e33	sex	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Up	0.655724976829787	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e4::mtdna_oxphos_13	astrocytes	3	sex_F_minus_M__e4	sex	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Down	0.316805152473221	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Female::mtdna_oxphos_13	astrocytes	4	apoe_e2_minus_e33__Female	apoe	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Down	0.258817189570696	0.928715301675688	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Male::mtdna_oxphos_13	astrocytes	5	apoe_e2_minus_e33__Male	apoe	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Down	0.20639068535227	0.928715301675688	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Female::mtdna_oxphos_13	astrocytes	6	apoe_e4_minus_e33__Female	apoe	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Down	0.220612484328388	0.928715301675688	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Male::mtdna_oxphos_13	astrocytes	7	apoe_e4_minus_e33__Male	apoe	1	mtdna_oxphos_13	direct_respiratory	13	19742	0.729865659611475	Up	0.745886647854029	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e2::nuclear_oxphos_structural_86	astrocytes	1	sex_F_minus_M__e2	sex	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Up	0.362089758010062	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e33::nuclear_oxphos_structural_86	astrocytes	2	sex_F_minus_M__e33	sex	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Up	0.536216302455313	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e4::nuclear_oxphos_structural_86	astrocytes	3	sex_F_minus_M__e4	sex	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Down	0.437888195199096	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Female::nuclear_oxphos_structural_86	astrocytes	4	apoe_e2_minus_e33__Female	apoe	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Up	0.969517934639746	0.99386472359731	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Male::nuclear_oxphos_structural_86	astrocytes	5	apoe_e2_minus_e33__Male	apoe	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Down	0.518928573720856	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Female::nuclear_oxphos_structural_86	astrocytes	6	apoe_e4_minus_e33__Female	apoe	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Down	0.880401219883931	0.970903271611309	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Male::nuclear_oxphos_structural_86	astrocytes	7	apoe_e4_minus_e33__Male	apoe	2	nuclear_oxphos_structural_86	direct_respiratory	74	19742	0.282694526261619	Up	0.222281711868517	0.928715301675688	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e2::mitochondrial_translation_155	astrocytes	1	sex_F_minus_M__e2	sex	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Down	0.531955582725989	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e33::mitochondrial_translation_155	astrocytes	2	sex_F_minus_M__e33	sex	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Up	0.042536443763728	0.671359518075895	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e4::mitochondrial_translation_155	astrocytes	3	sex_F_minus_M__e4	sex	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Down	0.31456392235831	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Female::mitochondrial_translation_155	astrocytes	4	apoe_e2_minus_e33__Female	apoe	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Down	0.486480748519306	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Male::mitochondrial_translation_155	astrocytes	5	apoe_e2_minus_e33__Male	apoe	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Up	0.250979402730477	0.928715301675688	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Female::mitochondrial_translation_155	astrocytes	6	apoe_e4_minus_e33__Female	apoe	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Down	0.0499919887914368	0.671359518075895	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Male::mitochondrial_translation_155	astrocytes	7	apoe_e4_minus_e33__Male	apoe	3	mitochondrial_translation_155	respiration_supporting	145	19742	0.0463268920417366	Up	0.438360663429123	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e2::mib_micos_inner_membrane_19	astrocytes	1	sex_F_minus_M__e2	sex	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Down	0.924536349064336	0.99386472359731	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e33::mib_micos_inner_membrane_19	astrocytes	2	sex_F_minus_M__e33	sex	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Up	0.356128278881496	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::sex_F_minus_M__e4::mib_micos_inner_membrane_19	astrocytes	3	sex_F_minus_M__e4	sex	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Down	0.803017694183554	0.970088489617716	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Female::mib_micos_inner_membrane_19	astrocytes	4	apoe_e2_minus_e33__Female	apoe	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Down	0.99349804438603	0.99386472359731	estimated	
phase13_camera_results_v1	astrocytes::apoe_e2_minus_e33__Male::mib_micos_inner_membrane_19	astrocytes	5	apoe_e2_minus_e33__Male	apoe	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Up	0.581161750504611	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Female::mib_micos_inner_membrane_19	astrocytes	6	apoe_e4_minus_e33__Female	apoe	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Down	0.501370805369359	0.944631415335757	estimated	
phase13_camera_results_v1	astrocytes::apoe_e4_minus_e33__Male::mib_micos_inner_membrane_19	astrocytes	7	apoe_e4_minus_e33__Male	apoe	4	mib_micos_inner_membrane_19	respiration_supporting	18	19742	0.035917784300728	Up	0.760962423298895	0.944631415335757	estimated	
phase13_camera_results_v1	excitatory_neurons::sex_F_minus_M__e2::mtdna_oxphos_13	excitatory_neurons	1	sex_F_minus_M__e2	sex	1	mtdna_oxphos_13	direct_respiratory	13	26509	0.698174713352351	Up	0.3407586876243	0.944631415335757	estimated	
