schema_version	context_id	group_id	nucleus_threshold	donors	nuclei	total_umi_count	median_nuclei	median_percent_mt	severe_qc_profiles
phase13_qc_summary_v1	astrocytes	NCI__Female__e2	20	17	4760	25474817	193	0.543771285856025	0
phase13_qc_summary_v1	astrocytes	AD__Female__e2	20	7	1609	8738978	162	0.566362987608782	0
phase13_qc_summary_v1	astrocytes	NCI__Female__e33	20	45	17732	100393865	384	0.421490367728751	0
phase13_qc_summary_v1	astrocytes	AD__Female__e33	20	37	14418	86490516	316	0.566008918160788	2
phase13_qc_summary_v1	astrocytes	NCI__Female__e4	20	11	4011	27591307	333	0.563072247232553	0
phase13_qc_summary_v1	astrocytes	AD__Female__e4	20	26	8221	46445347	261.5	0.667357650912233	2
phase13_qc_summary_v1	astrocytes	NCI__Male__e2	20	6	1957	5993323	319.5	0.41285450546813	0
phase13_qc_summary_v1	astrocytes	AD__Male__e2	20	7	2332	11257319	223	0.308054304246196	0
phase13_qc_summary_v1	astrocytes	NCI__Male__e33	20	53	24041	129588537	351	0.43492659922502	1
phase13_qc_summary_v1	astrocytes	AD__Male__e33	20	28	8264	38838144	240	0.451673633708738	2
phase13_qc_summary_v1	astrocytes	NCI__Male__e4	20	10	3535	16928155	342	0.647026801742706	0
phase13_qc_summary_v1	astrocytes	AD__Male__e4	20	25	8109	39337267	293	0.481335244792209	1
phase13_qc_summary_v1	astrocytes	NCI__Female__e2	50	16	4738	25389095	206.5	0.551491418246932	0
phase13_qc_summary_v1	astrocytes	AD__Female__e2	50	7	1609	8738978	162	0.566362987608782	0
phase13_qc_summary_v1	astrocytes	NCI__Female__e33	50	44	17686	100186704	404	0.415696249768538	0
phase13_qc_summary_v1	astrocytes	AD__Female__e33	50	37	14418	86490516	316	0.566008918160788	2
phase13_qc_summary_v1	astrocytes	NCI__Female__e4	50	11	4011	27591307	333	0.563072247232553	0
phase13_qc_summary_v1	astrocytes	AD__Female__e4	50	25	8187	46377319	276	0.666175809778519	1
phase13_qc_summary_v1	astrocytes	NCI__Male__e2	50	5	1917	5710349	323	0.355701165692528	0
phase13_qc_summary_v1	astrocytes	AD__Male__e2	50	6	2296	11128121	266	0.318291665338461	0
phase13_qc_summary_v1	astrocytes	NCI__Male__e33	50	50	23935	129282152	388	0.403006998127448	1
phase13_qc_summary_v1	astrocytes	AD__Male__e33	50	25	8149	38402878	254	0.429644286680881	0
phase13_qc_summary_v1	astrocytes	NCI__Male__e4	50	9	3493	16767517	343	0.713429270391995	0
phase13_qc_summary_v1	astrocytes	AD__Male__e4	50	24	8078	39227095	298	0.46736565825421	1
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e2	20	17	43298	612983451	2107	2.3877505952173	0
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e2	20	8	11203	221501167	1271.5	3.14865513107669	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e33	20	45	112596	2138802755	1868	2.08289785686941	0
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e33	20	37	94077	1547048820	2164	2.66515684072283	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e4	20	11	34061	631603769	2270	2.73889377823389	0
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e4	20	26	52366	983762445	1682.5	2.25213961669116	1
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e2	20	6	15477	143114858	1951.5	2.10963129393598	0
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e2	20	7	13579	269261518	1971	2.53758097084544	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e33	20	53	154635	2593190747	2337	2.10553199129507	1
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e33	20	28	86387	1023543456	1826	2.19107471537756	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e4	20	10	21899	371016571	2321	2.79078878138968	0
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e4	20	27	60873	950800093	2066	2.27147907183165	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e2	50	17	43298	612983451	2107	2.3877505952173	0
