schema_version	network	gene	included_reason	directed_depth_from_selenow	upstream_depth_to_selenow	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	AP1S1	shortest_path_connector	2.0		False	False	14	1.0	0	0.0	4	0.2857142857142857	False	False	adaptor related protein complex 1 subunit sigma 1	mixed	4	12	2	3	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	ATP5MPL	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	4	0.2857142857142857	False	False		mixed	6	14	1	5	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	BRK1	all_direct_outgoing	1.0		False	True	14	1.0	0	0.0	4	0.2857142857142857	False	False	BRICK1 subunit of SCAR/WAVE actin nucleating complex	mixed	2	9	1	2	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	CCDC127	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	4	0.2857142857142857	4	0.2857142857142857	True	True	coiled-coil domain containing 127	mixed	3	4	1	0	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	CHCHD10	query_hit_meeting_display_threshold	2.0		False	False	14	1.0	14	1.0	4	0.2857142857142857	True	True	coiled-coil-helix-coiled-coil-helix domain containing 10	mixed	10	15	3	1	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	CLPP	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	4	0.2857142857142857	4	0.2857142857142857	True	True	caseinolytic mitochondrial matrix peptidase proteolytic subunit	mixed	1	4	2	0	2	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	COA3	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	14	1.0	11	0.7857142857142857	4	0.2857142857142857	True	True	cytochrome c oxidase assembly factor 3	mixed	3	13	1	3	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	CYC1	query_hit_meeting_display_threshold	3.0		False	False	11	0.7857142857142857	10	0.7142857142857143	4	0.2857142857142857	True	True	cytochrome c1	mixed	7	7	2	3	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	DMAC2	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	4	0.2857142857142857	4	0.2857142857142857	True	True	distal membrane arm assembly component 2	mixed	1	5	1	0	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	DNAJB9	all_direct_outgoing	1.0		False	True	13	0.9285714285714286	0	0.0	4	0.2857142857142857	False	False	DnaJ heat shock protein family (Hsp40) member B9	mixed	3	11	1	0	1	0
