check	passed	observed
supporting_run_count	True	14
selected_threshold	True	4/14
threshold_5_hit_count	True	10
node_count	True	25
edge_count	True	25
query_hit_count	True	13
all_direct_incoming	True	1
all_direct_outgoing	True	7
pathway_representative_count	True	3
pathway_membership_rows	True	10
no_fdr_significant_pathway	True	0
png_dimensions	True	2385x1464
png_nonempty	True	211852
pdf_nonempty	True	9059
svg_nonempty	True	115972
cytoscape_session_nonempty	True	36110
cytoscape_style_nonempty	True	11911
