feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
14	LINC01409	ENSG00000237491	exact	unique_symbol	78	76	TRUE	TRUE	TRUE	0.0686212711134133	TRUE		TRUE		-0.29238261146656	0.00278710111516488	0.395058337978607	0
17	LINC00115	ENSG00000225880	phase18_exact	phase18	60	70	TRUE	TRUE	TRUE	0.357722086480094	TRUE		TRUE		-0.597566746114377	0.144865637705955	0.875652736972037	1
18	FAM41C	ENSG00000230368	phase18_exact	phase18	56	64	TRUE	TRUE	TRUE	0.918302055128365	TRUE		TRUE		-5.15945575092464	-0.600347962176111	0.594681080579358	2
25	KLHL17	ENSG00000187961	phase18_exact	phase18	78	73	TRUE	TRUE	TRUE	0.226637713939698	TRUE		TRUE		-0.371606111642555	0.22608164025493	0.935513438269599	3
29	HES4	ENSG00000188290	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.471800450769373	TRUE		TRUE		-0.82838641083989	0.0178030492444527	0.803616951021521	4
30	ISG15	ENSG00000187608	phase18_exact	phase18	78	76	TRUE	TRUE	TRUE	0.269900251390985	TRUE		TRUE		-0.394620923763004	0.263062748152432	1.38133404237665	5
32	AGRN	ENSG00000188157	phase18_exact	phase18	78	75	TRUE	TRUE	TRUE	0.150702307521274	TRUE		TRUE		-0.608430110677004	-0.100288366842422	0.37971830694116	6
36	C1orf159	ENSG00000131591	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0650247570764589	TRUE		TRUE		-0.325354180920194	0.0155842206896312	0.420373483520049	7
44	SDF4	ENSG00000078808	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0959949296432944	TRUE		TRUE		-0.258329647383698	0.114690572983944	0.5713397974417	8
45	B3GALT6	ENSG00000176022	phase18_exact	phase18	78	75	TRUE	TRUE	TRUE	0.154018027819858	TRUE		TRUE		-0.500797360717204	0.0178066095842205	0.490604707397868	9
49	LINC01786	ENSG00000230415	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.0976967252131438	TRUE		TRUE		-0.859955914019847	-0.143961358890427	0.258694761508744	10
