schema_version	route_id	candidate_id	cohort	modality	context_match	signal_gate	registered_chr19_all_members	registered_member_names	registered_member_sizes	members_within_5GiB	direct_individual_download_urls	new_download_bytes	full_archive_download	decision	terminal_state	reason
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1_2_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0028	GS044	ROSMAP_CUIMC1_2_MIT	snuc-eQTL	exact_inhibitory	FALSE	2	FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_indel_all.20260330.bed.gz;FunGenADv1.ROSMAP_CUIMC1_2_MIT.snuc-eQTL.inh.NGFGXQTL0028_v1_19_snp_all.20260330.bed.gz	592735366;1845036574	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0016	GS044	ROSMAP_CUIMC1	snuc-eQTL	exact_inhibitory	FALSE	2	FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_indel_all.20260330.bed.gz;FunGenADv1.ROSMAP_CUIMC1.snuc-eQTL.inh.NGFGXQTL0016_v1_19_snp_all.20260330.bed.gz	645541054;2001328451	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0022	GS044	ROSMAP_MIT	snuc-eQTL	exact_inhibitory	FALSE	2	FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_indel_all.20260330.bed.gz;FunGenADv1.ROSMAP_MIT.snuc-eQTL.inh.NGFGXQTL0022_v1_19_snp_all.20260330.bed.gz	582494283;1809673257	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	GS044	Knight-ADRC	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_indel_all.20260330.bed.gz;FunGenADv1.Knight-ADRC.eQTL.PC.NGFGXQTL0001_v1_19_snp_all.20260330.bed.gz	161610358;3502456688	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_10__NGFGXQTL0008	GS044	MSBB	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_indel_all.20260330.bed.gz;FunGenADv1.MSBB.eQTL.FC_BA_10.NGFGXQTL0008_v1_19_snp_all.20260330.bed.gz	377236958;5313021277	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_22__NGFGXQTL0009	GS044	MSBB	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_indel_all.20260330.bed.gz;FunGenADv1.MSBB.eQTL.FC_BA_22.NGFGXQTL0009_v1_19_snp_all.20260330.bed.gz	374205106;5262067053	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010	GS044	MSBB	eQTL	bulk_brain_fallback	TRUE	2	FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_indel_all.20260330.bed.gz;FunGenADv1.MSBB.eQTL.FC_BA_36.NGFGXQTL0010_v1_19_snp_all.20260330.bed.gz	361001759;5102332650	2	none	0	FALSE	no_new_download_no_direct_small_public_endpoint	model_or_ld_incompatible	source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_44__NGFGXQTL0011	GS044	MSBB	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_indel_all.20260330.bed.gz;FunGenADv1.MSBB.eQTL.FC_BA_44.NGFGXQTL0011_v1_19_snp_all.20260330.bed.gz	367347116;5189538015	2	none	0	FALSE	no_new_download_no_signal	measurement_unresolved	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Anterior_caudate__NGFGXQTL0032	GS044	ROSMAP	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_indel_all.20260330.bed.gz;FunGenADv1.ROSMAP.eQTL.AC.NGFGXQTL0032_v1_19_snp_all.20260330.bed.gz	1392936270;4289775947	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0033	GS044	ROSMAP	eQTL	bulk_brain_fallback	FALSE	2	FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_indel_all.20260330.bed.gz;FunGenADv1.ROSMAP.eQTL.DLPFC.NGFGXQTL0033_v1_19_snp_all.20260330.bed.gz	1518766477;4660936025	2	none	0	FALSE	no_new_download_no_signal	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
