schema_version	candidate_id	gene	context	eligible_routes	measured_routes	signal_positive_routes	resolved_colocalization_routes	gene_evidence_grade	gene_outcome	gene_validated	context_evidence_grade	context_validated	maximum_pp_h4	observed_cohorts	signal_route_ids	independence_state	reason
phase19_opc_rps15_public_recovery_v1	GS044	RPS15	Inhibitory_neurons	17	15	3	0	weak	suggestive_public_support_only	FALSE	not_validated	FALSE	NA	Knight-ADRC;MSBB;ROSMAP;ROSMAP_CUIMC1;ROSMAP_CUIMC1_2_MIT;ROSMAP_MIT	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010;GS044__NG00184v1__ROSMAP__sQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0040;GS044__NG00184v1__ROSMAP__sQTL__Posterior_cingulate_cortex__NGFGXQTL0041	source_specific_overlap_audit_required	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured;released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false;source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS045	RPS15	OPCs	20	16	3	0	weak	suggestive_public_support_only	FALSE	not_validated	FALSE	NA	Knight-ADRC;MSBB;ROSMAP;ROSMAP_CUIMC1;ROSMAP_CUIMC1_2_MIT;ROSMAP_MIT	GS045__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010;GS045__NG00184v1__ROSMAP__sQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0040;GS045__NG00184v1__ROSMAP__sQTL__Posterior_cingulate_cortex__NGFGXQTL0041	source_specific_overlap_audit_required	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured;released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false;source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
