schema_version	check_name	blocking	passed	observed	expected	details
yu_mitochondrial_figure_checks_v1	required_input_files	TRUE	TRUE	10	10	
yu_mitochondrial_figure_checks_v1	similarity_status	TRUE	TRUE	validated_complete/10000	validated_complete/10000	
yu_mitochondrial_figure_checks_v1	similarity_checks	TRUE	TRUE	25	25	
yu_mitochondrial_figure_checks_v1	similarity_artifact_manifest	TRUE	TRUE	10	10	
yu_mitochondrial_figure_checks_v1	pathway_status	TRUE	TRUE	validated_complete/27	validated_complete/27	
yu_mitochondrial_figure_checks_v1	pathway_checks	TRUE	TRUE	29	29	
yu_mitochondrial_figure_checks_v1	pathway_artifact_manifest	TRUE	TRUE	13	13	
yu_mitochondrial_figure_checks_v1	similarity_artifact_files	TRUE	TRUE	10	10	
yu_mitochondrial_figure_checks_v1	similarity_artifact_bytes	TRUE	TRUE	10	10	
yu_mitochondrial_figure_checks_v1	similarity_artifact_hashes	TRUE	TRUE	10	10	
yu_mitochondrial_figure_checks_v1	pathway_artifact_files	TRUE	TRUE	13	13	
yu_mitochondrial_figure_checks_v1	pathway_artifact_bytes	TRUE	TRUE	13	13	
yu_mitochondrial_figure_checks_v1	pathway_artifact_hashes	TRUE	TRUE	13	13	
yu_mitochondrial_figure_checks_v1	phase11_phase10_provenance	TRUE	TRUE	matching hashes	matching hashes	
yu_mitochondrial_figure_checks_v1	reference_manifest	TRUE	TRUE	msigdb_c2_cp_v2026_1,mitocarta_mitopathways_v3_0	msigdb_c2_cp_v2026_1	
yu_mitochondrial_figure_checks_v1	downstream_manifest	TRUE	TRUE	27	27	
yu_mitochondrial_figure_checks_v1	similarity_panel_schema_rows	TRUE	TRUE	mitochondrial_similarity_panel_data_v1/3780	mitochondrial_similarity_panel_data_v1/3780	
yu_mitochondrial_figure_checks_v1	pathway_panel_schema_rows	TRUE	TRUE	mitochondrial_pathway_panel_data_v1/75411	mitochondrial_pathway_panel_data_v1/75411	
yu_mitochondrial_figure_checks_v1	primary_similarity_rows	TRUE	TRUE	1890	1890	
yu_mitochondrial_figure_checks_v1	state_pair_contract	TRUE	TRUE	1,2,3,4,5,6,7,8,9	1,2,3,4,5,6,7,8,9	
yu_mitochondrial_figure_checks_v1	similarity_tail_sizes	TRUE	TRUE	25,25,25,25,25,25,10,10,10,10,10,10	25,25,25,25,25,25,10,10,10,10,10,10	
yu_mitochondrial_figure_checks_v1	similarity_occurrence_reconciliation	TRUE	TRUE	210	210	
yu_mitochondrial_figure_checks_v1	similarity_nominal_dimensions	TRUE	TRUE	54,108,162	54,108,162	
yu_mitochondrial_figure_checks_v1	primary_query_manifest_rows	TRUE	TRUE	9	9	
yu_mitochondrial_figure_checks_v1	primary_query_definitions	TRUE	TRUE	9	9	
yu_mitochondrial_figure_checks_v1	query_rows_1	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_1	TRUE	TRUE	0	0	
yu_mitochondrial_figure_checks_v1	query_explicit_status_1	TRUE	TRUE	no_significant_pathways	no_significant_pathways	
yu_mitochondrial_figure_checks_v1	query_rows_2	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_2	TRUE	TRUE	81	81	
yu_mitochondrial_figure_checks_v1	query_explicit_status_2	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	query_rows_3	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_3	TRUE	TRUE	0	0	
yu_mitochondrial_figure_checks_v1	query_explicit_status_3	TRUE	TRUE	no_significant_pathways	no_significant_pathways	
yu_mitochondrial_figure_checks_v1	query_rows_4	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_4	TRUE	TRUE	58	58	
yu_mitochondrial_figure_checks_v1	query_explicit_status_4	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	query_rows_5	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_5	TRUE	TRUE	0	0	
yu_mitochondrial_figure_checks_v1	query_explicit_status_5	TRUE	TRUE	no_significant_pathways	no_significant_pathways	
yu_mitochondrial_figure_checks_v1	query_rows_6	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_6	TRUE	TRUE	53	53	
yu_mitochondrial_figure_checks_v1	query_explicit_status_6	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	query_rows_7	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_7	TRUE	TRUE	39	39	
yu_mitochondrial_figure_checks_v1	query_explicit_status_7	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	query_rows_8	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_8	TRUE	TRUE	52	52	
yu_mitochondrial_figure_checks_v1	query_explicit_status_8	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	query_rows_9	TRUE	TRUE	4115	4115	
yu_mitochondrial_figure_checks_v1	query_significance_9	TRUE	TRUE	29	29	
yu_mitochondrial_figure_checks_v1	query_explicit_status_9	TRUE	TRUE	significant_pathways_present	significant_pathways_present	
yu_mitochondrial_figure_checks_v1	pathway_summary_rows	TRUE	TRUE	9	9	
yu_mitochondrial_figure_checks_v1	pathway_display_cap	TRUE	TRUE	15	15	
yu_mitochondrial_figure_checks_v1	required_hashes	TRUE	TRUE	8	8	
yu_mitochondrial_figure_checks_v1	eight_primary_images	TRUE	TRUE	8	8	
yu_mitochondrial_figure_checks_v1	pdf_page_counts	TRUE	TRUE	1,1,1,1	1,1,1,1	
yu_mitochondrial_figure_checks_v1	png_dimensions	TRUE	TRUE	3300x4500,3300x4500,3300x4500,3600x6600	3300x4500,3300x4500,3300x4500,3600x6600	
yu_mitochondrial_figure_checks_v1	caption_count	TRUE	TRUE	4	4	
yu_mitochondrial_figure_checks_v1	all_blocking_checks	TRUE	TRUE	59	59	
