schema_version	artifact_role	source_path	expected_sha256	observed_sha256	bytes	checksum_pass
phase20_broad_input_authority_v1	analysis_config	config/phase20_sex_apoe_kda_broad.yml	1544c83c5fa43c2200f99a0847dbc7a055287311eff5f907dc6eaaec84cb2fc9	1544c83c5fa43c2200f99a0847dbc7a055287311eff5f907dc6eaaec84cb2fc9	6355	TRUE
phase20_broad_input_authority_v1	analysis_script	scripts/20_sex_apoe_kda_broad.py	dcaa3bc9e591d1a0b46bebe9e39ac7715a386e5a27b5c0b77aa5cf0371af4a5e	dcaa3bc9e591d1a0b46bebe9e39ac7715a386e5a27b5c0b77aa5cf0371af4a5e	85681	TRUE
phase20_broad_input_authority_v1	complete_evidence_engine	scripts/18_key_driver_selection.py	e34f478f2fb6f766287dd4524933717c42ac6cedfec22f456c1126aa8064a8e0	e34f478f2fb6f766287dd4524933717c42ac6cedfec22f456c1126aa8064a8e0	75260	TRUE
phase20_broad_input_authority_v1	fkda_parity_helper	scripts/20_sex_apoe_kda_broad_fkda_parity.R	c749f8aa669b2f7b4f65189958d89e7075bddaa5edd78ebeca7858bba4028238	c749f8aa669b2f7b4f65189958d89e7075bddaa5edd78ebeca7858bba4028238	2461	TRUE
phase20_broad_input_authority_v1	fkda_source	scripts/NetWeaver/fKDA.R	fed8f89f35a3f08f38a420eb9b26c590cdc5f13a12064af1b9fa4a4cb1168550	fed8f89f35a3f08f38a420eb9b26c590cdc5f13a12064af1b9fa4a4cb1168550	11731	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/00_inputs/broad_deg_contrast_manifest.tsv	67a673e2b503d1115436b417392adc19e1406237559fa4ee2398fcd6742e81b3	67a673e2b503d1115436b417392adc19e1406237559fa4ee2398fcd6742e81b3	6382	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/00_inputs/phase08_broad_deg_config_snapshot.yml	c4d2243ff1a8aa2a6a2c8b867b6ee13090a41eacd47550c04428fba59a0d132d	c4d2243ff1a8aa2a6a2c8b867b6ee13090a41eacd47550c04428fba59a0d132d	3926	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_core_mito_kda_query_handoff.tsv.gz	bc2b46c45b195efa0fac857ad2ff34449defcad1efad0836c03ddce173a2f83b	bc2b46c45b195efa0fac857ad2ff34449defcad1efad0836c03ddce173a2f83b	23148	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_artifacts.tsv	4caa69088d6edbae7c186e7f234d55673a364595b27746801ac3948b1dc3f271	4caa69088d6edbae7c186e7f234d55673a364595b27746801ac3948b1dc3f271	21075	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_checks.tsv	a843720cbee81b47b5757afc3a3bd3f54a0829b58ef3c14e6f3260212ec4870c	a843720cbee81b47b5757afc3a3bd3f54a0829b58ef3c14e6f3260212ec4870c	2637	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_contrast_status.tsv	303e71c7224229a068bd7a02e79c6d457fe05c69faa0001728da27f9ed9cea6b	303e71c7224229a068bd7a02e79c6d457fe05c69faa0001728da27f9ed9cea6b	6533	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_filter_funnel.tsv	0b41c8948d5a9017ace8b7e30dec18c5e5b9344ab7fd53266716602c6c8ca3a9	0b41c8948d5a9017ace8b7e30dec18c5e5b9344ab7fd53266716602c6c8ca3a9	33587	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_model_diagnostics.tsv	2dc328ea6de82d80241dffefd68a65854fbcb88d5601585a2137a3e4594c8f03	2dc328ea6de82d80241dffefd68a65854fbcb88d5601585a2137a3e4594c8f03	2136	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_results.tsv.gz	993e447f59081a047992e4c2e54e14bc082b7c3edc3538ce72f75750bf784636	993e447f59081a047992e4c2e54e14bc082b7c3edc3538ce72f75750bf784636	66692247	TRUE
phase20_broad_input_authority_v1	phase08_broad_input	results/minerva_production/08_deg_broad/broad_deg_status.tsv	cafbaf09f8e6b76dd40d9e061360a9b37a9ce4a163ed7665f961e4d37a51f3d8	cafbaf09f8e6b76dd40d9e061360a9b37a9ce4a163ed7665f961e4d37a51f3d8	1422	TRUE
phase20_broad_input_authority_v1	phase09_annotation	results/minerva_production/09_annotate_genes/gene_annotation_master.tsv.gz	b1a7e9b627c983d083df74cbe1173b8cb3e9007e1afc641747e8c30ec17f9203	b1a7e9b627c983d083df74cbe1173b8cb3e9007e1afc641747e8c30ec17f9203	14959057	TRUE
phase20_broad_input_authority_v1	phase09_checks	results/minerva_production/09_annotate_genes/annotation_checks.tsv	514e5a59119baa831f3b2eadc7d37a2e6611f1cc4df36f44f9e4970eb1772000	514e5a59119baa831f3b2eadc7d37a2e6611f1cc4df36f44f9e4970eb1772000	4755	TRUE
phase20_broad_input_authority_v1	phase09_status	results/minerva_production/09_annotate_genes/annotation_status.tsv	aa4646ac3129f815e0ba04259fba5cc5424379748a5fb4871b88a74d854b11fc	aa4646ac3129f815e0ba04259fba5cc5424379748a5fb4871b88a74d854b11fc	3064	TRUE
phase20_broad_input_authority_v1	phase12_config	config/phase12_kda.yml	328ee9473cf95e91438730d166fb766684c6d22b44e6e36332b4dffa704c2fb1	328ee9473cf95e91438730d166fb766684c6d22b44e6e36332b4dffa704c2fb1	3669	TRUE
