current_symbol	category_count	group_count	broad_network_count	strict_category_count	best_relaxed_q
RPL11	7	4	4	5	1.6217641175222784e-09
RPS15	6	4	3	6	1.2318843104924814e-12
RPS13	3	3	1	3	4.689597269600769e-06
SELENOW	3	3	1	3	6.079345791611163e-06
TMEM147	3	3	1	2	0.000109619789029
LAMTOR5	3	2	2	3	0.0019865660974197
RPLP1	3	2	2	3	0.0019867350938024
ATG101	3	3	1	0	0.0035216091570811
PSMB6	3	3	1	2	0.0035216091570811
RPL15	3	3	1	3	0.0048411687191691
RPLP2	3	3	1	1	0.0070231034544787
WDR82	3	3	1	3	0.0232267219541289
FTL	2	2	1	2	0.0001125248217131
ANKRD11	2	2	1	2	0.0003953257316636
SSR2	2	2	1	1	0.0024134397846353
GABARAPL2	2	2	1	2	0.0052580639058669
RPL6	2	2	1	2	0.0073100628629444
SELENOM	2	2	1	2	0.0199593399447446
RPL29	1	1	1	1	0.0024281283069868
PRDX1	1	1	1	1	0.002502381944889
