schema_version	report_type	summary_scope	broad_network	case_id	filter_number	filter_name	ordered_funnel_step	counting_unit	input_n	pass_n	fail_n	cumulative_remaining_n	input_distinct_gene_n	pass_distinct_gene_n	fail_distinct_gene_n	remaining_distinct_gene_n	explicit_n	implicit_n	absent_n	invalid_n	not_testable_n	failure_reason
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	CAMs	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	0	0	0	0	0	0	0	0	0	0	0	0	0	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	Excitatory_neurons	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	962822	855484	107338	855484	9926	9926	6840	9926	69907	785577	107338	0	107338	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	Inhibitory_neurons	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	253288	225504	27784	225504	9046	9046	3309	9046	12939	212565	27784	0	27784	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	Microglia	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	31488	26694	4794	26694	5248	5248	1364	5248	1673	25021	4794	0	4794	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	OPCs	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	45396	42914	2482	42914	7566	7566	834	7566	2232	40682	2482	0	2482	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	Oligodendrocytes	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	9264	9264	0	9264	4632	4632	0	4632	382	8882	0	0	0	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	T_cells	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	0	0	0	0	0	0	0	0	0	0	0	0	0	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	native_filter	broad_network	Vasculature_cells	ALL	2	usable_gene_level_result	2	gene_included_run_opportunity	3686	3686	0	3686	3686	3686	0	3686	67	3619	0	0	0	absent_from_run_background
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	overall	ALL	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	49618	292	49326	292	12221	202	12212	202	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	overall	ALL	ALL	4	coverage	4	gene_broad_network_case_aggregate	292	283	9	283	202	194	9	194	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	overall	ALL	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	283	109	174	109	194	57	155	57	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	overall	ALL	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	49618	292	49326	292	12221	202	12212	202	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	overall	ALL	ALL	4	coverage	4	gene_broad_network_case_aggregate	49618	42530	7088	42530	12221	10880	5448	10880	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	overall	ALL	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	49618	109	49509	109	12221	57	12219	57	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Astrocytes	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	7885	33	7852	33	7486	31	7463	31	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Astrocytes	ALL	4	coverage	4	gene_broad_network_case_aggregate	33	31	2	31	31	29	2	29	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Astrocytes	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	31	13	18	13	29	11	18	11	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Astrocytes	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	7885	33	7852	33	7486	31	7463	31	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Astrocytes	ALL	4	coverage	4	gene_broad_network_case_aggregate	7885	6201	1684	6201	7486	5878	1684	5878	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Astrocytes	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	7885	13	7872	13	7486	11	7479	11	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	399	10	389	10	399	10	389	10	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	10	10	0	10	10	10	0	10	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	10	6	4	6	10	6	4	6	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	399	10	389	10	399	10	389	10	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	399	399	0	399	399	399	0	399	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	399	6	393	6	399	6	393	6	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	605	2	603	2	605	2	603	2	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	2	2	0	2	2	2	0	2	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	2	2	0	2	2	2	0	2	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
