schema_version	check_id	severity	observed	expected	passed
mitochondrial_key_driver_selection_v1_checks_v1	phase12_planned_runs	error	1782	1782	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	phase18_structural_slots	error	648	648	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	phase18_included_runs	error	161	161	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	phase12_reconstruction	error	161	161	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	acat_professor_example	error	3.043421070714203e-11	<=5e-10	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	three_case_manifest	error	3	3	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	top5_network_case_lists	error	27	27	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	top5_display_cap	error	5	<=5	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	filter_funnel_additivity	error	194	194	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	filter_funnel_matches_candidates	error	109	109	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	candidate_ranks_unique	error	109	109	TRUE
mitochondrial_key_driver_selection_v1_checks_v1	invalid_tests	error	0	0	TRUE
