schema_version	exclusion_level	broad_network	case_id	reason	count
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	run	ALL	ALL	effective_query_below_10	134
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	run	ALL	ALL	included	161
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	run	ALL	ALL	phase12_ineligible	353
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Astrocytes	ALL	insufficient_coverage	1684
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Astrocytes	ALL	not_supported	6133
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Astrocytes	ALL	exploratory	55
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Astrocytes	ALL	driver_candidate	13
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Excitatory_neurons	ALL	insufficient_coverage	1445
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Excitatory_neurons	ALL	not_supported	9039
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Excitatory_neurons	ALL	exploratory	167
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Excitatory_neurons	ALL	driver_candidate	49
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Inhibitory_neurons	ALL	insufficient_coverage	1860
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Inhibitory_neurons	ALL	not_supported	7592
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Inhibitory_neurons	ALL	exploratory	92
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Inhibitory_neurons	ALL	driver_candidate	26
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Microglia	ALL	not_supported	4036
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Microglia	ALL	insufficient_coverage	1299
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Microglia	ALL	exploratory	24
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Microglia	ALL	driver_candidate	4
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	OPCs	ALL	not_supported	6880
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	OPCs	ALL	insufficient_coverage	800
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	OPCs	ALL	exploratory	49
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	OPCs	ALL	driver_candidate	10
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Oligodendrocytes	ALL	not_supported	4646
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Oligodendrocytes	ALL	exploratory	26
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Oligodendrocytes	ALL	driver_candidate	3
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Vasculature_cells	ALL	not_supported	3673
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Vasculature_cells	ALL	exploratory	9
mitochondrial_key_driver_selection_v1_exclusion_summary_v1	aggregate	Vasculature_cells	ALL	driver_candidate	4
