schema_version	broad_network	current_symbol	case_id	assessable_repetitions	nominal_p_pass_fraction	aggregate_q_pass_fraction	candidate_retention_fraction	worst_rank	evidence_tier
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	APOE	case3_not_core_mito	3	1.0	0.6666666666666666	0.6666666666666666	4	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	COX4I1	case1_core_mito_in_query	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	5	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	COX7C	case1_core_mito_in_query	3	1.0	0.6666666666666666	0.6666666666666666	4	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	LAPTM4A	case3_not_core_mito	3	1.0	1.0	1.0	5	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	MT-ATP6	case1_core_mito_in_query	3	1.0	1.0	1.0	5	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	MT-CO2	case1_core_mito_in_query	3	1.0	1.0	1.0	1	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	MT-CO2	case2_core_mito_not_in_query	3	1.0	1.0	1.0	2	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	MT-CO3	case1_core_mito_in_query	3	1.0	1.0	1.0	2	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	RPL11	case3_not_core_mito	3	1.0	0.6666666666666666	0.6666666666666666	1	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	RPL13	case1_core_mito_in_query	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	6	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	RPL13	case2_core_mito_not_in_query	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	2	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	RPL15	case3_not_core_mito	3	1.0	1.0	1.0	3	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Astrocytes	RPLP1	case3_not_core_mito	3	1.0	0.6666666666666666	0.6666666666666666	2	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	APEX1	case1_core_mito_in_query	14	1.0	1.0	1.0	16	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	ATP5F1B	case1_core_mito_in_query	14	1.0	0.9285714285714286	0.9285714285714286	16	tier2_localized_or_unstable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	ATP5F1D	case1_core_mito_in_query	14	1.0	1.0	1.0	19	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	ATP5PF	case1_core_mito_in_query	14	1.0	1.0	1.0	13	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	BPHL	case1_core_mito_in_query	14	1.0	0.9285714285714286	0.9285714285714286	14	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	BTF3	case3_not_core_mito	14	1.0	1.0	1.0	19	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	COX4I1	case1_core_mito_in_query	14	1.0	1.0	1.0	3	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	COX4I1	case2_core_mito_not_in_query	14	1.0	1.0	1.0	8	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	COX6B1	case1_core_mito_in_query	14	1.0	1.0	1.0	4	tier1_recurrent_stable
mitochondrial_key_driver_selection_v1_stability_summary_v1	Excitatory_neurons	COX6B1	case2_core_mito_not_in_query	14	1.0	1.0	1.0	7	tier1_recurrent_stable
