schema_version	check_id	observed	expected	passed
mitochondrial_key_driver_selection_v1_source_checks_v1	phase12_validation_status	validated_complete	validated_complete	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	phase12_planned_runs	1782	1782	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	phase12_failed_runs	0	0	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_phase12_config	328ee9473cf95e91438730d166fb766684c6d22b44e6e36332b4dffa704c2fb1	328ee9473cf95e91438730d166fb766684c6d22b44e6e36332b4dffa704c2fb1	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_fKDA_source	fed8f89f35a3f08f38a420eb9b26c590cdc5f13a12064af1b9fa4a4cb1168550	fed8f89f35a3f08f38a420eb9b26c590cdc5f13a12064af1b9fa4a4cb1168550	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_phase09_annotation	b1a7e9b627c983d083df74cbe1173b8cb3e9007e1afc641747e8c30ec17f9203	b1a7e9b627c983d083df74cbe1173b8cb3e9007e1afc641747e8c30ec17f9203	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Astrocytes	220c2dff6b1c95cb8654f9b19347f1c388ed539a369aa7c581cd748ff988634d	220c2dff6b1c95cb8654f9b19347f1c388ed539a369aa7c581cd748ff988634d	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_CAMs	8d0c911d1c6607d1ec21e28736c41875dc3f87947417a240763ce7a30cac7bf5	8d0c911d1c6607d1ec21e28736c41875dc3f87947417a240763ce7a30cac7bf5	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Excitatory_neurons	bfbb4859dd7298a1f1dfa9cb459e781b379ae4e57114e4858eacbcbf88786c8e	bfbb4859dd7298a1f1dfa9cb459e781b379ae4e57114e4858eacbcbf88786c8e	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Inhibitory_neurons	9c2eb47351ece8af211487a8edb5143c594a59486da3a87af33555b4e3d41aa4	9c2eb47351ece8af211487a8edb5143c594a59486da3a87af33555b4e3d41aa4	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Microglia	aa53b942e9496d5d91376f76045a3c29722c024f8bdfbe6b9b7a3a15950d21bb	aa53b942e9496d5d91376f76045a3c29722c024f8bdfbe6b9b7a3a15950d21bb	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_OPCs	9660d52ed4d318cebdda93b42b8e57d79f6aadd21a1e0e50a5d0612ac5ed9683	9660d52ed4d318cebdda93b42b8e57d79f6aadd21a1e0e50a5d0612ac5ed9683	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Oligodendrocytes	e9f2dfb2d957368d4b98e96489c9ab9edc34cfa9f789a2490bf161c98e27b746	e9f2dfb2d957368d4b98e96489c9ab9edc34cfa9f789a2490bf161c98e27b746	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_T_cells	8cfae0bbe2fcb296ace3c649e525201320439c4fc1ca8e942e2f9a446b8ed03c	8cfae0bbe2fcb296ace3c649e525201320439c4fc1ca8e942e2f9a446b8ed03c	TRUE
mitochondrial_key_driver_selection_v1_source_checks_v1	hash_network_Vasculature_cells	97e53fd2f9871d1e763b741aec5955556f7a9d12df94102fc4e623a906ac75c6	97e53fd2f9871d1e763b741aec5955556f7a9d12df94102fc4e623a906ac75c6	TRUE
