schema_version	input_role	source_path	snapshot_path	source_schema_version	source_validation_status	byte_size	sha256	copy_identity_pass
phase20_sex_apoe_non_mt_kda_v1_input_authority_v1	candidate_tests	results/minerva_production/18_key_driver_selection/archive/key_driver_candidate_tests.tsv.gz	results/minerva_production/20_sex_apoe_kda/00_inputs/phase18_candidate_tests.tsv.gz	mitochondrial_key_driver_selection_v1_candidate_tests_v1	validated_complete	9870935	d7a8dea0ef3e6098e8c4f58a388a7af98ea547c111fd5802d0c39574c09a44b8	TRUE
phase20_sex_apoe_non_mt_kda_v1_input_authority_v1	run_manifest	results/minerva_production/18_key_driver_selection/archive/key_driver_run_manifest.tsv	results/minerva_production/20_sex_apoe_kda/00_inputs/phase18_run_manifest.tsv	mitochondrial_key_driver_selection_v1_run_manifest_v1	validated_complete	149920	95a596d5e7a98dcfc7fe09f57f11156fa1a78534a36549a5e854d2ce79e43fc1	TRUE
phase20_sex_apoe_non_mt_kda_v1_input_authority_v1	source_checks	results/minerva_production/18_key_driver_selection/archive/key_driver_checks.tsv	results/minerva_production/20_sex_apoe_kda/00_inputs/phase18_source_checks.tsv	mitochondrial_key_driver_selection_v1_checks_v1	validated_complete	1144	463ed53c814a1c45a0981544cffaf56ddcb48d40848be8392bb2583acc86a34b	TRUE
