schema_version	kda_run_id	analysis_tier	fine_cell_type	broad_network	signature_group	signature_direction	effective_query_genes	effective_background_genes	eligibility_status	terminal_status	phase18_included	phase18_exclusion_reason	phase20_included	phase20_exclusion_reason
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	6	6943	eligible	completed_significant	FALSE	effective_query_below_10	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	3	6943	eligible	completed_significant	FALSE	effective_query_below_10	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e33	AD_up_mito	25	7172	eligible	completed_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e33	AD_down_mito	20	7172	eligible	completed_no_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e4	AD_up_mito	34	7096	eligible	completed_no_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e4	AD_down_mito	46	7096	eligible	completed_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_M_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	M_e2	AD_up_mito	10	5947	eligible	completed_no_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_M_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	M_e2	AD_down_mito	6	5947	eligible	completed_significant	FALSE	effective_query_below_10	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_M_e33_AD_up_mito	primary	Ast CHI3L1	Astrocytes	M_e33	AD_up_mito	17	7152	eligible	completed_significant	TRUE	NA	TRUE	NA
phase20_sex_apoe_kda_source_v1_run_manifest_v1	primary_Ast_CHI3L1_M_e33_AD_down_mito	primary	Ast CHI3L1	Astrocytes	M_e33	AD_down_mito	11	7152	eligible	completed_no_significant	TRUE	NA	TRUE	NA
