schema_version	figure_id	check_id	blocking	passed	observed	expected	detail
phase18_filter_attrition_figure_v1	phase18_filter_attrition	production_status	TRUE	TRUE	validated_complete	validated_complete	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	execution_stage_recorded	TRUE	TRUE	local_production_equivalent	nonempty	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	three_ordered_cases	TRUE	TRUE	case1_core_mito_in_query|case2_core_mito_not_in_query|case3_not_core_mito	case1_core_mito_in_query|case2_core_mito_not_in_query|case3_not_core_mito	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	source_artifact_hashes	TRUE	TRUE	5	5	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter1_additive	TRUE	TRUE	648=161+487	648=161+487	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter2_opportunities	TRUE	TRUE	1463150	1463150	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter2_usable	TRUE	TRUE	1299782	1299782	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter2_unavailable	TRUE	TRUE	163368	163368	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter2_invalid	TRUE	TRUE	0	0	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	aggregate_input	TRUE	TRUE	49618	49618	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter3_aggregate_survivors	TRUE	TRUE	292	292	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter4_aggregate_survivors	TRUE	TRUE	283	283	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	filter5_candidate_aggregates	TRUE	TRUE	109	109	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	case1_final_distinct_genes	TRUE	TRUE	27	27	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	case2_final_distinct_genes	TRUE	TRUE	18	18	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	case3_final_distinct_genes	TRUE	TRUE	30	30	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	all_case_unique_gene_union	TRUE	TRUE	57	57	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	membership_rows	TRUE	TRUE	49618	49618	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	plotted_data_rows	TRUE	TRUE	16	16	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	colorblind_safe_palette	TRUE	TRUE	Okabe-Ito blue|green|purple	colorblind-safe categorical palette	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	grayscale_redundancy	TRUE	TRUE	labels|outlines|hatching	non-color encodings present	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	minimum_text_size	TRUE	TRUE	7 pt	>=7 pt	All rendered text is at least 7 pt at the 183 mm final width.
phase18_filter_attrition_figure_v1	phase18_filter_attrition	no_uncertainty_bars	TRUE	TRUE	not applicable to exact counts	not applicable	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	no_significance_stars	TRUE	TRUE	none	none	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	visual_review_complete	FALSE	TRUE	complete	complete	Manual review of clipping, grayscale redundancy, and label readability.
phase18_filter_attrition_figure_v1	phase18_filter_attrition	vector_and_raster_outputs	TRUE	TRUE	.pdf|.png|.svg	.pdf|.png|.svg	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	image_outputs_nonempty	TRUE	TRUE	3	3	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	svg_is_vector	TRUE	TRUE	<svg present	<svg present	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	svg_text_preserved	TRUE	TRUE	<text present	<text present	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	pdf_signature	TRUE	TRUE	%PDF-	%PDF-	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	png_width	TRUE	TRUE	2592	2592	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	png_height	TRUE	TRUE	2160	2160	
phase18_filter_attrition_figure_v1	phase18_filter_attrition	png_resolution	TRUE	TRUE	359.99|359.99	360|360	
