schema_version	figure_id	record_type	panel_id	case_order	case_id	case_label	filter_number	filter_name	counting_unit	input_n	pass_n	first_removed_n	remaining_n	conditional_retained_fraction	distinct_gene_input_n	distinct_gene_first_removed_n	distinct_gene_remaining_n	source_file	source_report_type	source_summary_scope	derivation_rule
phase18_filter_attrition_figure_v1	phase18_filter_attrition	native_filter	A	NA	ALL	Shared by all cases	1	frozen_run_scope	run_slot	648	161	487	161	0.24845679012345678	NA	NA	NA	key_driver_filter_funnel.tsv	native_filter	overall	read authoritative overall Filter 1 row
phase18_filter_attrition_figure_v1	phase18_filter_attrition	native_filter	B	1	case1_core_mito_in_query	Case 1: MT-related and in query	2	usable_gene_level_result	gene_included_run_opportunity	7073	7073	0	7073	1.0	NA	NA	NA	key_driver_candidate_tests.tsv.gz	candidate_test_rows	case	count usable_test within case; unavailable is absent or invalid
phase18_filter_attrition_figure_v1	phase18_filter_attrition	aggregate_universe	B	1	case1_core_mito_in_query	Case 1: MT-related and in query	pre_3	eligible_case_aggregate_universe	gene_broad_network_case_aggregate	2046	2046	NA	2046	NA	877	NA	877	key_driver_gene_case_summary.tsv.gz	aggregate_rows	case_any_network	distinct symbol counted once per case; aggregate counted once per network and case
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	B	1	case1_core_mito_in_query	Case 1: MT-related and in query	3	conservative_support	gene_broad_network_case_aggregate	2046	77	1969	77	0.053591790193842644	877	830	47	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	B	1	case1_core_mito_in_query	Case 1: MT-related and in query	4	coverage	gene_broad_network_case_aggregate	77	77	0	77	1.0	47	0	47	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	B	1	case1_core_mito_in_query	Case 1: MT-related and in query	5	aggregate_evidence	gene_broad_network_case_aggregate	77	49	28	49	0.574468085106383	47	20	27	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	native_filter	C	2	case2_core_mito_not_in_query	Case 2: MT-related and not in query	2	usable_gene_level_result	gene_included_run_opportunity	112484	98790	13694	98790	0.8782582411720778	NA	NA	NA	key_driver_candidate_tests.tsv.gz	candidate_test_rows	case	count usable_test within case; unavailable is absent or invalid
phase18_filter_attrition_figure_v1	phase18_filter_attrition	aggregate_universe	C	2	case2_core_mito_not_in_query	Case 2: MT-related and not in query	pre_3	eligible_case_aggregate_universe	gene_broad_network_case_aggregate	3625	3625	NA	3625	NA	902	NA	902	key_driver_gene_case_summary.tsv.gz	aggregate_rows	case_any_network	distinct symbol counted once per case; aggregate counted once per network and case
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	C	2	case2_core_mito_not_in_query	Case 2: MT-related and not in query	3	conservative_support	gene_broad_network_case_aggregate	3625	43	3582	43	0.037694013303769404	902	868	34	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	C	2	case2_core_mito_not_in_query	Case 2: MT-related and not in query	4	coverage	gene_broad_network_case_aggregate	43	42	1	42	0.9705882352941176	34	1	33	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	C	2	case2_core_mito_not_in_query	Case 2: MT-related and not in query	5	aggregate_evidence	gene_broad_network_case_aggregate	42	23	19	23	0.5454545454545454	33	15	18	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	native_filter	D	3	case3_not_core_mito	Case 3: Outside core MitoCarta	2	usable_gene_level_result	gene_included_run_opportunity	1343593	1193919	149674	1193919	0.8886016822058466	NA	NA	NA	key_driver_candidate_tests.tsv.gz	candidate_test_rows	case	count usable_test within case; unavailable is absent or invalid
phase18_filter_attrition_figure_v1	phase18_filter_attrition	aggregate_universe	D	3	case3_not_core_mito	Case 3: Outside core MitoCarta	pre_3	eligible_case_aggregate_universe	gene_broad_network_case_aggregate	43947	43947	NA	43947	NA	11319	NA	11319	key_driver_gene_case_summary.tsv.gz	aggregate_rows	case_any_network	distinct symbol counted once per case; aggregate counted once per network and case
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	D	3	case3_not_core_mito	Case 3: Outside core MitoCarta	3	conservative_support	gene_broad_network_case_aggregate	43947	172	43775	172	0.013252054068380599	11319	11169	150	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	D	3	case3_not_core_mito	Case 3: Outside core MitoCarta	4	coverage	gene_broad_network_case_aggregate	172	164	8	164	0.9533333333333334	150	7	143	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
phase18_filter_attrition_figure_v1	phase18_filter_attrition	sequential_candidate_funnel	D	3	case3_not_core_mito	Case 3: Outside core MitoCarta	5	aggregate_evidence	gene_broad_network_case_aggregate	164	37	127	37	0.2097902097902098	143	113	30	key_driver_filter_funnel.tsv|key_driver_gene_case_summary.tsv.gz	sequential_candidate_funnel|aggregate_rows	broad_network_case|case_any_network	aggregate counts summed across networks; distinct gene remains if any network passes
