schema_version	network	gene	pathway	pathway_code	pathway_display_label	pathway_color	pathway_url	pathway_background_gene_count	display_overlap_gene_count	raw_hypergeometric_p	bh_fdr
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	85	12	2.20829098417601e-15	3.2001816845684e-13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRFS1	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	85	12	2.20829098417601e-15	3.2001816845684e-13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	85	12	2.20829098417601e-15	3.2001816845684e-13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	D	Mitochondrial protein degradation	#D55E00	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	83	5	4.55483379735283e-05	0.00180019453945377
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PDHB	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	D	Mitochondrial protein degradation	#D55E00	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	83	5	4.55483379735283e-05	0.00180019453945377
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	D	Mitochondrial protein degradation	#D55E00	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	83	5	4.55483379735283e-05	0.00180019453945377
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	D	Mitochondrial protein degradation	#D55E00	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	83	5	4.55483379735283e-05	0.00180019453945377
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	D	Mitochondrial protein degradation	#D55E00	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	83	5	4.55483379735283e-05	0.00180019453945377
phase18_rpl11_deep_dive_v1	Excitatory_neurons	APOO	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	24	3	0.000201687877730023	0.00762467868201109
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5ME	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	24	3	0.000201687877730023	0.00762467868201109
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ATP5PF	REACTOME_CRISTAE_FORMATION	C	Cristae formation	#009E73	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	24	3	0.000201687877730023	0.00762467868201109
