schema_version	library	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	102	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	26.0599769319492	4.79589097459572e-16	7.58186764074723e-14	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	85	12	ATP5ME;ATP5PF;COX7C;NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6;SLC25A5;UQCRFS1;UQCRQ	28.8664359861592	2.20829098417601e-15	3.2001816845684e-13	TRUE	O	ETC / oxidative phosphorylation	#0072B2	nonredundant representative with BH FDR < 0.05 and at least 3 displayed genes
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	118	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	22.5264207377866	3.40827370513765e-15	4.55922151787259e-13	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_TRANSLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_TRANSLATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	304	17	MRPL21;MRPL24;PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9;SRP14	11.4342105263158	5.98738325998185e-15	7.43718534936316e-13	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CELLULAR_RESPONSE_TO_STARVATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	125	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	21.2649411764706	7.35366409702743e-15	8.52534790982047e-13	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	209	15	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9;TXNRD1	14.6749226006192	1.00689491936061e-14	1.09436891548006e-12	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SIGNALING_BY_ROBO_RECEPTORS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	174	14	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	16.4516565246788	2.01915317018215e-14	2.06547491938045e-12	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_INFLUENZA_INFECTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_INFLUENZA_INFECTION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	136	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	19.5449826989619	2.25151596605176e-14	2.17521459164667e-12	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_RRNA_PROCESSING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RRNA_PROCESSING	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	172	13	RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	15.4541723666211	4.88395503661688e-13	4.47010410982987e-11	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	197	13	ATP5ME;ATP5PF;COX7C;NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6;PDHB;RPS27A;UQCRFS1;UQCRQ	13.492982979994	2.81812234046608e-12	2.45035737503526e-10	FALSE	NA	NA	NA	NA
