schema_version	profile_id	profile_role	figure_analogue	panel_id	comparison_order	comparison_id	analysis_universe	pathway_collection	collection_release	required_tail	query_id	requested_k	selected_k	query_size	background_size	expected_pathway_rows	data_source	execution_label
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_3	Figure_3B	1	female_vs_male_all_apoe	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	high_score	female_vs_male_all_apoe::core_mito::high_score::200	200	200	200	700	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_3	Figure_3B	1	female_vs_male_all_apoe	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	female_vs_male_all_apoe::core_mito::low_score::200	200	200	200	700	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	high_score	e2_vs_e33_all_sexes::core_mito::high_score::200	200	200	200	708	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	e2_vs_e33_all_sexes::core_mito::low_score::200	200	200	200	708	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	high_score	e4_vs_e33_all_sexes::core_mito::high_score::200	200	200	200	686	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	e4_vs_e33_all_sexes::core_mito::low_score::200	200	200	200	686	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_6_e2	Figure_6B_e2	4	female_vs_male_e2	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	female_vs_male_e2::core_mito::low_score::200	200	200	200	732	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_6_e33	Figure_6B_e33	5	female_vs_male_e33	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	female_vs_male_e33::core_mito::low_score::200	200	200	200	705	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	focused_mitopathways	focused_companion	Figure_6_e4	Figure_6B_e4	6	female_vs_male_e4	core_mito	mitocarta_mitopathways_v3_0	MitoCarta3.0	low_score	female_vs_male_e4::core_mito::low_score::200	200	200	200	679	149	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_3	Figure_3B	1	female_vs_male_all_apoe	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	female_vs_male_all_apoe::all_mito_related::high_score::200	200	200	200	766	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_3	Figure_3B	1	female_vs_male_all_apoe	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_all_apoe::all_mito_related::low_score::200	200	200	200	766	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	e2_vs_e33_all_sexes::all_mito_related::high_score::200	200	200	200	775	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	e2_vs_e33_all_sexes::all_mito_related::low_score::200	200	200	200	775	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	e4_vs_e33_all_sexes::all_mito_related::high_score::200	200	200	200	751	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	e4_vs_e33_all_sexes::all_mito_related::low_score::200	200	200	200	751	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_6_e2	Figure_6B_e2	4	female_vs_male_e2	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e2::all_mito_related::low_score::200	200	200	200	798	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_6_e33	Figure_6B_e33	5	female_vs_male_e33	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e33::all_mito_related::low_score::200	200	200	200	770	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	inclusive_yu_sensitivity	inclusive_sensitivity	Figure_6_e4	Figure_6B_e4	6	female_vs_male_e4	all_mito_related	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e4::all_mito_related::low_score::200	200	200	200	743	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_3	Figure_3B	1	female_vs_male_all_apoe	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	female_vs_male_all_apoe::core_mito::high_score::200	200	200	200	700	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_3	Figure_3B	1	female_vs_male_all_apoe	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_all_apoe::core_mito::low_score::200	200	200	200	700	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	e2_vs_e33_all_sexes::core_mito::high_score::200	200	200	200	708	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_4	Figure_4B	2	e2_vs_e33_all_sexes	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	e2_vs_e33_all_sexes::core_mito::low_score::200	200	200	200	708	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	high_score	e4_vs_e33_all_sexes::core_mito::high_score::200	200	200	200	686	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_5	Figure_5B	3	e4_vs_e33_all_sexes	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	e4_vs_e33_all_sexes::core_mito::low_score::200	200	200	200	686	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_6_e2	Figure_6B_e2	4	female_vs_male_e2	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e2::core_mito::low_score::200	200	200	200	732	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_6_e33	Figure_6B_e33	5	female_vs_male_e33	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e33::core_mito::low_score::200	200	200	200	705	4115	pathway_panel_data.tsv.gz	validated_complete
downstream_panel_manifest_v1	primary_yu_mito	required_primary	Figure_6_e4	Figure_6B_e4	6	female_vs_male_e4	core_mito	msigdb_c2_cp_v2026_1	2026.1.Hs	low_score	female_vs_male_e4::core_mito::low_score::200	200	200	200	679	4115	pathway_panel_data.tsv.gz	validated_complete
