schema_version	case_order	case_id	case_label	exact_rule
mitochondrial_key_driver_selection_v1_case_manifest_v1	1	case1_core_mito_in_query	MT-related and in query	is_mitocarta3_TRUE_and_effective_query_member_TRUE
mitochondrial_key_driver_selection_v1_case_manifest_v1	2	case2_core_mito_not_in_query	MT-related and not in query	is_mitocarta3_TRUE_and_effective_query_member_FALSE
mitochondrial_key_driver_selection_v1_case_manifest_v1	3	case3_not_core_mito	Not MT-related	is_mitocarta3_FALSE
