schema_version	signature_group	sex	apoe_group	broad_network	category_label	current_symbol	case_id	is_core_mito	source_all_gene_rank	non_mt_rank	returned_call_count	returned_fine_cell_type_count	returned_fine_cell_types	minimum_returned_within_call_q	median_returned_within_call_q	maximum_returned_within_call_q	acat_of_returned_within_call_q	returned_run_q_acat_score	requested_final_q	score_neg_log10	final_value_method	aggregation_display	inferential_status	formal_fdr_controlled_q	source_analysis_id	source_category_aggregate_sha256
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Astrocytes	F_e2 · Astrocytes	RPL11	non_mt_driver	FALSE	2	1	1	1	Ast GRM3	3.57261226311138e-06	3.57261226311138e-06	3.57261226311138e-06	NA	3.57261226311138e-06	3.57261226311138e-06	5.447014115375687	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Astrocytes	F_e2 · Astrocytes	RPL15	non_mt_driver	FALSE	5	2	1	1	Ast GRM3	0.00031064136917447	0.00031064136917447	0.00031064136917447	NA	0.0003106413691744	0.0003106413691744	3.507740708273314	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Astrocytes	F_e2 · Astrocytes	RPLP1	non_mt_driver	FALSE	6	3	1	1	Ast GRM3	0.00031064136917447	0.00031064136917447	0.00031064136917447	NA	0.0003106413691744	0.0003106413691744	3.507740708273314	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Astrocytes	F_e2 · Astrocytes	FAU	non_mt_driver	FALSE	7	4	1	1	Ast GRM3	0.000572077748754674	0.000572077748754674	0.000572077748754674	NA	0.0005720777487546	0.0005720777487546	3.242544944003298	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Astrocytes	F_e2 · Astrocytes	MYO9A	non_mt_driver	FALSE	9	5	1	1	Ast DPP10	0.00161305141585529	0.00161305141585529	0.00161305141585529	NA	0.0016130514158552	0.0016130514158552	2.7923517892965224	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Excitatory_neurons	F_e2 · Excitatory neurons	RPL11	non_mt_driver	FALSE	3	1	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	5.62469414853513e-10	4.4330412810861325e-05	0.0464185120783132	3.3521248916320967e-09	3.3521248916320967e-09	3.3521248916320967e-09	8.474679809034534	acat_of_returned_within_call_q_values	ACAT across ≥2 returned calls	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Excitatory_neurons	F_e2 · Excitatory neurons	SELENOW	non_mt_driver	FALSE	11	2	5	5	Exc L3-4 RORB CUX2|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	2.51445102201719e-07	0.000250538518413765	0.00511788160702056	1.2501841288272248e-06	1.2501841288272248e-06	1.2501841288272248e-06	5.903026018796285	acat_of_returned_within_call_q_values	ACAT across ≥2 returned calls	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Excitatory_neurons	F_e2 · Excitatory neurons	RPS13	non_mt_driver	FALSE	12	3	3	3	Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	6.05179255079382e-07	1.08445645730371e-05	0.013828186575736	1.71950580346548e-06	1.71950580346548e-06	1.71950580346548e-06	5.7645963540619265	acat_of_returned_within_call_q_values	ACAT across ≥2 returned calls	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Excitatory_neurons	F_e2 · Excitatory neurons	TMEM147	non_mt_driver	FALSE	17	4	6	6	Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	1.1448456083184e-05	0.0002719674488180635	0.013828186575736	5.568188813724577e-05	5.568188813724577e-05	5.568188813724577e-05	4.254286046499438	acat_of_returned_within_call_q_values	ACAT across ≥2 returned calls	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Excitatory_neurons	F_e2 · Excitatory neurons	WDR82	non_mt_driver	FALSE	18	5	4	4	Exc L2-3 CBLN2 LINC02306|Exc L4-5 RORB GABRG1|Exc L5/6 NP|Exc L6 CT	2.20476522316913e-05	0.023998608400690527	0.0482613034114767	8.709882565703589e-05	8.709882565703589e-05	8.709882565703589e-05	4.059987700492996	acat_of_returned_within_call_q_values	ACAT across ≥2 returned calls	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Inhibitory_neurons	F_e2 · Inhibitory neurons	ATP6AP2	non_mt_driver	FALSE	9	1	1	1	Inh LAMP5 NRG1 (Rosehip)	0.000142704365874084	0.000142704365874084	0.000142704365874084	NA	0.000142704365874	0.000142704365874	3.8455627399478445	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Inhibitory_neurons	F_e2 · Inhibitory neurons	TCEAL7	non_mt_driver	FALSE	10	2	1	1	Inh LAMP5 NRG1 (Rosehip)	0.000237704461916849	0.000237704461916849	0.000237704461916849	NA	0.0002377044619168	0.0002377044619168	3.6239626661150766	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Inhibitory_neurons	F_e2 · Inhibitory neurons	RPL15	non_mt_driver	FALSE	11	3	1	1	Inh LAMP5 NRG1 (Rosehip)	0.000535585311343222	0.000535585311343222	0.000535585311343222	NA	0.0005355853113432	0.0005355853113432	3.271171342209077	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Inhibitory_neurons	F_e2 · Inhibitory neurons	RPLP1	non_mt_driver	FALSE	13	4	1	1	Inh PVALB HTR4	0.000713470442110905	0.000713470442110905	0.000713470442110905	NA	0.0007134704421109	0.0007134704421109	3.1466240142718758	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Inhibitory_neurons	F_e2 · Inhibitory neurons	RPS15	non_mt_driver	FALSE	15	5	1	1	Inh PVALB HTR4	0.00232867113672479	0.00232867113672479	0.00232867113672479	NA	0.0023286711367247	0.0023286711367247	2.6328918397565655	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Microglia	F_e2 · Microglia	NLRP1	non_mt_driver	FALSE	1	1	1	1	Mic P2RY12	0.0019099432746623	0.0019099432746623	0.0019099432746623	NA	0.0019099432746623	0.0019099432746623	2.7189795311119482	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Microglia	F_e2 · Microglia	RPS6KA5	non_mt_driver	FALSE	2	2	1	1	Mic P2RY12	0.00277762057402782	0.00277762057402782	0.00277762057402782	NA	0.0027776205740278	0.0027776205740278	2.5563270796424082	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Microglia	F_e2 · Microglia	EML1	non_mt_driver	FALSE	3	3	1	1	Mic P2RY12	0.0036932309973997	0.0036932309973997	0.0036932309973997	NA	0.0036932309973997	0.0036932309973997	2.4325935280493693	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Microglia	F_e2 · Microglia	LIMK2	non_mt_driver	FALSE	5	4	1	1	Mic P2RY12	0.0197332192317712	0.0197332192317712	0.0197332192317712	NA	0.0197332192317712	0.0197332192317712	1.7048020591701587	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e2	Female	e2	Microglia	F_e2 · Microglia	PTPN2	non_mt_driver	FALSE	6	5	1	1	Mic P2RY12	0.0279038010968476	0.0279038010968476	0.0279038010968476	NA	0.0279038010968476	0.0279038010968476	1.554336632463173	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_top5_plot_data_v1	F_e33	Female	e33	Astrocytes	F_e33 · Astrocytes	PGK1	non_mt_driver	FALSE	4	1	1	1	Ast CHI3L1	0.00533421995754882	0.00533421995754882	0.00533421995754882	NA	0.0053342199575488	0.0053342199575488	2.272929080063438	singleton_within_call_q_passthrough	One-call q passthrough	exploratory_postselection	FALSE	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
