PIK3CD-AS2	GDPD4
CORT	SSTR3
KAZN-AS1	DLGAP1-AS5
IGSF21-AS1	LINC00676
IGSF21-AS1	ALOX12
MICOS10	LONRF3
LINC01141	MAP1LC3B2
FGR	ACSL1
MARCKSL1	SEPTIN4
HPCA	LINC00839
HPCA	KRT17
AZIN2	LINC02642
AZIN2	NAV2-AS4
AZIN2	IGF1
ZMYM4-AS1	RAPGEF4-AS1
ZMYM4-AS1	LANCL1-AS1
ZMYM4-AS1	ARHGEF38
ZMYM4-AS1	ANGPT2
GRIK3	ADRA1A
GRIK3	ABCA10
KDM4A-AS1	ALKBH3-AS1
LINC01739	LPAR4
ROR1-AS1	SLC22A16
ROR1-AS1	LINC00558
ROR1-AS1	GPC5-AS1
ROR1-AS1	NUTM1
ROR1-AS1	LINC01440
AK4	SLC2A1
AK4	COL27A1
GNG12	DOCK1
GNG12	EYA2
MSH4	RNF217-AS1
MSH4	ARHGAP8
IFI44L	NRIR
IFI44L	CMPK2
IFI44L	RSAD2
IFI44L	OAS3
DPYD	FGR
DPYD	ITGA4
DPYD	IL15
DPYD	LINC02712
DPYD	CD163
DPYD	PLXNC1
DPYD	SYNE3
DPYD-AS1	CA8
DPYD-AS1	MIR31HG
AMIGO1	CA4
SLC6A17	EPHA10
SLC6A17	SLC30A3
SLC6A17	CFAP221
SLC6A17	SLC16A14
SLC6A17	TMEM132A
SLC6A17	PDIA2
SLC6A17	DRP2
NGF	LINC00871
NGF	PSG8
LINC00624	SERPIND1
HIST2H2BF	HSPA1A
HIST2H2BF	HSPA1B
HIST2H2AA4	HSPB3
HIST2H2AA4	SLC16A6
ADAMTSL4	TLR9
FLG	HTR5A-AS1
S100A9	S100A8
S100A9	SERPINA1
S100A9	SIGLEC7
S100A8	GMPPB
S100A8	IFITM2
RPS27	RPL39
HAPLN2	NXF5
ACKR1	FGF17
ACKR1	PDZD4
KCNJ9	VSTM2A
KCNJ9	SRXN1
KCNJ9	GP1BB
KCNJ9	ATP2B3
RGS4	BEX5
GLUL	LINC01909
RGS8	TEAD4
PTGS2	ATF3
LINC00862	CYP4A22-AS1
LINC00862	CD247
LINC00862	NEK10
LINC00862	IL7
LINC00862	SLC5A3
CHI3L1	S100A4
CHI3L1	MYBPH
C1orf147	ATP11A-AS1
CR1	HK3
CR1	F13A1
DTL	CLSPN
DTL	RAD54L
DTL	POLQ
DTL	MND1
DTL	HELLS
DTL	FAM111B
DTL	E2F1
DTL	CDC45
C1orf115	SLC4A3
C1orf115	ZCCHC12
FAM177B	MMP19
FAM177B	CXCL17
ACBD3-AS1	AP4B1-AS1
ACBD3-AS1	SPAG5-AS1
TRIM17	APOA1
TRIM17	NRIP2
HIST3H2A	MAP3K20-AS1
RHOU	ACER2
EXO1	E2F1
KIF26B	ENPP1
SNTG2	LINC01115
NRIR	CMPK2
ID2	IER2
ID2	ZFP36
RHOB	GLUL
RHOB	PTGS2
RHOB	SRGN
SLC30A3	PRB2
FOSL2	CCL20
SLC8A1-AS1	ITGB5-AS1
SLC8A1-AS1	MYCBP2-AS1
SLC8A1-AS1	ITPK1-AS1
OXER1	LINC01625
ABCG8	SEMA5B
RPS27A	MRPL51
RPS27A	RPL19
RPS27A	FTL
LINC02576	MYOT
LINC02576	KCNJ16
TMSB10	CARD16
TMSB10	MT1X
MAL	LINC02821
MAL	SOX10
NCAPH	BUB1B
TBC1D8	SLC11A1
TBC1D8	NOD2
TBC1D8	FAM20A
TBC1D8	LILRB3
TBC1D8	LINC00891
BUB1	PLK4
BUB1	DEPDC1B
CKAP2L	SPC25
CKAP2L	GTSE1
PAX8	PAX8-AS1
NCKAP5-AS1	SMLR1
ZEB2-AS1	USP46-AS1
ZEB2-AS1	AC024896.1
RND3	CR1
TANC1	ABCG2
TANC1	CPA6
TBR1	SOX8
DHRS9	TMEM52B
LRP2	ABCA8
NEUROD1	SLC15A1
SLC40A1	LINC01736
SLC40A1	CREB5
SLC40A1	ALDH1L2
SLC40A1	CTF1
CFLAR-AS1	PKD2L2
CFLAR-AS1	EYS
CFLAR-AS1	A2ML1-AS1
CFLAR-AS1	PNMA5
LANCL1-AS1	SLC3A1
LANCL1-AS1	C3orf49
LANCL1-AS1	TH2LCRR
TNS1	DIRC3
SLC11A1	MAP3K8
SLC11A1	PLTP
TUBA4A	CAMK2N2
TUBA4A	TMEM35A
MOGAT1	COA6-AS1
CHRNG	C16orf89
HJURP	ARHGAP11B
HJURP	REXO5
HJURP	NDC80
GPC1	FNDC10
GPC1	CRIP2
LMCD1-AS1	LMCD1
RPL32	RPS27
RPL32	RPS23
SH3BP5	HBEGF
SH3BP5	SLC16A10
KCNH8	LINC01630
KCNH8	BCAS1
SGO1	KIF18A
SGO1	RAD51AP1
NEK10	CFAP161
OSBPL10	RAVER2
CNOT10-AS1	LINC02201
CX3CR1	DHRS9
CCK	UCHL1
CCK	TMEM151B
CCK	VSTM2A
CCK	NEFL
CCK	CALY
CCK	RTN4RL2
CCK	PCDH8
CCK	NDN
CCK	CX3CL1
CCK	TUBB3
CCK	PNMA6A
LARS2-AS1	COL10A1
CAMKV	GPC1
MANF	HSPA5
MANF	DOLPP1
MANF	DERL3
CACNA2D3-AS1	CHRM3-AS2
CACNA2D3-AS1	TCEAL5
ASB14	CHST9
DENND6A-AS1	C1orf195
DENND6A-AS1	MKRN2OS
DENND6A-AS1	AL354989.1
DENND6A-AS1	PCDH9-AS4
DENND6A-AS1	VASN
DENND6A-AS1	PRKCA-AS1
DENND6A-AS1	RNF213-AS1
SUCLG2-AS1	LINC02818
LMOD3	LINC02428
FOXP1-AS1	LYPLAL1-AS1
GXYLT2	MARCH4
GXYLT2	TRIM71
LINC00960	ZBTB20-AS3
LINC00960	OPA1-AS1
CADM2-AS1	PZP
MORC1	MIR3142HG
TAGLN3	SYT13
TAGLN3	TUBB4A
ZBTB20-AS5	ZBTB20-AS2
