node_order	source_symbol
379	RGS16
380	RGS8
381	C1orf21
382	HMCN1
383	PRG4
384	PDC
385	PTGS2
386	RGS1
387	RGS13
388	RGS2
389	B3GALT2
390	LINC01031
391	CFH
392	ASPM
393	LINC00862
394	KIF14
395	DDX59-AS1
396	TNNT2
397	SHISA4
398	ELF3-AS1
399	GPR37L1
400	PTPN7
401	UBE2T
402	SYT2
403	ADORA1
404	MYBPH
405	CHI3L1
406	CHIT1
407	LINC01353
408	PRELP
409	ZC3H11A
410	SOX13
411	ETNK2
412	AL606489.1
413	CNTN2
414	TMEM81
415	TMCC2
416	KLHDC8A
417	SLC45A3
418	PM20D1
419	RAB7B
420	RHEX
421	C1orf147
422	DYRK3
423	IL10
424	IL19
425	FCMR
426	CR1
427	CR1L
428	LINC02767
429	CAMK1G
430	LAMB3
431	HSD11B1-AS1
432	HSD11B1
433	C1orf74
434	DTL
435	ATF3
436	LINC02773
437	SPATA45
438	VASH2
439	PROX1-AS1
440	PTPN14
441	CENPF
442	KCNK2
443	USH2A
444	SPATA17
445	C1orf143
446	LYPLAL1-DT
447	LYPLAL1-AS1
448	ZC3H11B
449	SLC30A10
450	C1orf115
451	MARC2
452	MARC1
453	HLX-AS1
454	HLX
455	LINC01705
456	TAF1A-AS1
457	FAM177B
458	LEFTY1
459	LINC01703
460	ACBD3-AS1
461	STUM
462	ITPKB-AS1
463	GJC2
464	TRIM17
465	HIST3H2A
466	HIST3H2BB
467	RHOU
468	LINC01736
469	AGT
470	TRIM67
471	MAP10
472	COA6-AS1
473	RBM34
474	GNG4
475	NID1
476	EDARADD
477	CHRM3-AS2
478	GREM2
479	KMO
480	WDR64
481	EXO1
482	AKT3-IT1
483	LINC02774
484	KIF26B
485	KIF26B-AS1
486	LINC01341
487	ZNF695
488	GCSAML
489	OR2C3
490	TRIM58
491	OR2L5
492	OR2L2
493	OR2L3
494	OR2M4
495	ALKAL2
496	LINC01865
497	AC092159.2
498	LINC01115
499	SNTG2
500	PXDN
501	TRAPPC12-AS1
502	COLEC11
503	SILC1
504	LINC00487
505	NRIR
506	CMPK2
507	RSAD2
508	RNF144A-AS1
509	LINC00298
510	LINC01814
511	ID2-AS1
512	ID2
513	GRHL1
514	CYS1
515	RRM2
516	ODC1-DT
517	RN7SL832P
518	ATP6V1C2
519	LINC01954
520	KCNF1
521	TRIB2
522	KCNS3
523	LINC00954
524	RHOB
525	GDF7
526	TDRD15
527	MFSD2B
528	FKBP1B
529	PFN4
530	FAM228A
531	PTRHD1
532	POMC
533	GAREM2
534	DRC1
535	OTOF
536	KCNK3
537	CENPA
538	KHK
539	CGREF1
540	ABHD1
541	SLC30A3
542	DNAJC5G
543	TRIM54
544	GTF3C2-AS1
545	KRTCAP3
546	FNDC4
547	CCDC121
548	FOSL2
549	TOGARAM2
550	LBH
551	GALNT14
552	CAPN14
553	SRD5A2
554	LINC01946
555	BIRC6-AS1
556	CRIM1-DT
557	QPCT
558	RMDN2-AS1
559	CYP1B1
560	LINC02613
561	MORN2
562	SOS1-IT1
563	CDKL4
564	SLC8A1-AS1
565	C2orf91
566	PKDCC
567	KCNG3
568	OXER1
569	LINC02580
570	LINC01126
571	PLEKHH2
572	ABCG5
573	ABCG8
574	SLC3A1
575	EPAS1
576	LINC01119
577	EPCAM-DT
578	EPCAM
579	STON1
580	LHCGR
581	AC009975.1
582	FSHR
583	GPR75
584	C2orf73
585	RPS27A
586	EFEMP1
587	LINC01793
588	LINC01185
589	AC016747.2
590	TMEM17
591	LINC02576
592	MEIS1
593	LINC01829
594	ASPRV1
595	ANKRD53
596	PAIP2B
597	DYSF
598	SPR
599	EMX1
600	ALMS1-IT1
601	BOLA3-AS1
602	DCTN1-AS1
603	C2orf81
604	WDR54
605	INO80B
606	MRPL53
607	TACR1
608	EVA1A
609	LRRTM1
610	TRABD2A
611	TMSB10
612	TCF7L1
613	PARTICL
614	RNF181
615	GNLY
616	ATOH8
617	ST3GAL5-AS1
618	CD8A
619	RGPD1
620	CYTOR
621	PLGLB2
622	RGPD2
623	THNSL2
624	IGKC
625	MAL
626	PROM2
627	KCNIP3
628	AC009237.14
629	GPAT2
630	DUSP2
631	ITPRIPL1
632	NCAPH
633	NEURL3
634	FER1L5
635	FAHD2B
636	VWA3B
637	LYG2
638	TBC1D8
639	TBC1D8-AS1
640	RFX8
641	IL1R2
642	IL1R1
643	IL1RL2
644	IL18R1
645	SLC9A2
646	LINC01796
647	LINC01114
648	POU3F3
649	RGPD3
650	ST6GAL2
651	LINC01885
652	RGPD4
653	SULT1C2
654	SULT1C4
655	SH3RF3-AS1
656	SOWAHC
657	RGPD6
658	BUB1
659	ACOXL
660	FBLN7
661	CHCHD5
662	CKAP2L
663	IL1A
664	IL1B
665	PAX8-AS1
666	PAX8
667	AC017074.1
668	AC104653.1
669	DPP10-AS3
670	DPP10-AS1
671	THORLNC
672	MARCO
673	C1QL2
674	TMEM37
675	SCTR
676	CFAP221
677	GLI2
678	CYP27C1
679	MAP3K2-DT
680	LINC01854
681	LINC02572
682	AMER3
683	LINC01945
684	GPR39
685	LYPD1
686	NCKAP5-AS1
687	TMEM163
688	ACMSD
689	MAP3K19
690	DARS-AS1
691	CXCR4
692	LINC02631
693	NXPH2
694	ZEB2-AS1
695	LINC01412
696	TEX41
697	LYPD6B
698	LYPD6
699	LINC01931
700	LINC01818
701	RND3
702	RPRM
703	LINC01876
704	NR4A2
705	ERMN
706	CCDC148
707	PKP4-AS1
708	DAPL1
709	TANC1
710	TBR1
711	DPP4
712	FAP
713	GRB14
714	SLC38A11
715	GALNT3
716	TTC21B-AS1
717	SCN9A
718	SCN7A
719	XIRP2
720	B3GALT1
721	NOSTRIN
722	SPC25
723	ABCB11
724	DHRS9
725	LRP2
726	KLHL41
727	CCDC173
728	PHOSPHO2
729	MYO3B
730	GAD1
731	DLX1
732	ITGA6-AS1
733	RAPGEF4-AS1
734	MAP3K20-AS1
735	CDCA7
736	LINC01117
737	LINC01116
738	TTC30A
739	PDE11A
740	FKBP7
741	CCDC141
742	SCHLAP1
743	LINC01934
744	ITGA4
745	CERKL
746	NEUROD1
747	PPP1R1C
748	DUSP19
749	FSIP2
750	CALCRL
751	LINC01090
752	SLC40A1
753	OSGEPL1-AS1
754	STAT4
755	MYO1B
756	LINC01821
757	HSPE1
758	MARS2
759	LINC01923
760	SATB2-AS1
761	LINC01877
762	AOX1
763	LINC01792
764	CFLAR-AS1
765	FLACC1
766	C2CD6
767	MPP4
768	KIAA2012
769	CD28
770	AC007383.2
771	GPR1
772	MDH1B
773	CPO
774	KLF7-IT1
775	MYOSLID
776	FZD5
777	C2orf80
778	PTH2R
779	ACADL
780	LANCL1-AS1
781	CPS1
782	LINC01878
783	SNHG31
784	ABCA12
785	FN1
786	LINC00607
787	LINC01963
788	MARCH4
789	IGFBP2
790	IGFBP5
791	DIRC3-AS1
792	DIRC3
793	TNS1
794	RUFY4
795	CXCR2
796	CATIP-AS2
797	CATIP
798	CATIP-AS1
799	SLC11A1
800	VIL1
801	PLCD4
802	CYP27A1
803	WNT6
804	LINC01494
805	CDK5R2
806	SLC23A3
807	GLB1L
808	TUBA4A
809	SPEG
810	SPEGNB
811	ASIC4
812	CHPF
813	TMEM198
814	INHA
815	SLC4A3
816	SGPP2
817	MOGAT1
818	KCNE4
819	SCG2
820	IRS1
821	COL4A4
822	COL4A3
823	SLC19A3
824	CCL20
825	DAW1
826	SPHKAP
827	LINC01807
828	SLC16A14
829	LINC01907
830	GPR55
831	HTR2B
832	NPPC
833	CHRNG
834	EFHD1
835	KCNJ13
836	HJURP
837	ARL4C
838	SH3BP4
839	COL6A3
840	MLPH
841	RAB17
842	RBM44
843	LINC02610
844	LINC01937
845	TWIST2
846	HDAC4-AS1
847	GPC1
848	GPR35
849	ANO7
850	BOK-AS1
851	BOK
852	RTP5
853	LINC01238
854	CHL1-AS2
855	LINC01266
856	CNTN6
857	ITPR1-DT
858	EGOT
859	GRM7-AS3
860	LMCD1-AS1
861	LMCD1
862	SSUH2
863	CAV3
864	OXTR
865	SRGAP3-AS2
866	SRGAP3-AS3
867	IL17RE
868	PRRT3
869	PRRT3-AS1
870	FANCD2OS
871	LINC00852
872	HRH1
873	MKRN2OS
874	RPL32
875	HDAC11-AS1
876	FBLN2
877	WNT7A
878	GRIP2
879	C3orf20
880	FGD5
881	SH3BP5
882	EAF1-AS1
883	KCNH8
884	EFHB
885	PP2D1
886	SGO1
887	SGO1-AS1
888	ZNF385D-AS1
889	THRB-IT1
890	THRB-AS1
891	LRRC3B
892	NEK10
893	RBMS3-AS3
894	RBMS3-AS2
895	OSBPL10
896	CMTM8
897	CNOT10-AS1
898	TRIM71
899	TMPPE
900	SUSD5
901	LINC01811
902	SLC22A13
903	SLC22A14
904	SCN11A
905	CX3CR1
906	MOBP
907	CCK
908	VIPR1-AS1
909	HHATL
910	ACKR2
911	KRBOX1
912	CYP8B1
913	SNRK-AS1
914	ZNF502
915	ZNF501
916	KIF15
917	TMEM158
918	LARS2-AS1
919	LIMD1-AS1
920	CCR3
921	CCR5
922	LRRC2
923	ALS2CL
924	PTH1R
925	CSPG5
926	CDC25A
927	PLXNB1
928	CCDC51
929	COL7A1
930	SLC26A6
931	CELSR3
932	LINC02585
933	ARIH2OS
934	LAMB2
935	CCDC36
936	GMPPB
937	TRAIP
938	CAMKV
939	MST1R
940	RBM5-AS1
941	SEMA3B
942	HYAL3
943	NAA80
944	RASSF1-AS1
945	ZMYND10
946	CACNA2D2
947	CISH
948	MANF
949	GRM2
950	RRP9
951	PARP3
952	POC1A
953	TLR9
954	NT5DC2
955	IL17RB
956	CACNA2D3-AS1
957	LRTM1
958	WNT5A-AS1
959	IL17RD
960	ASB14
961	DNAH12
962	ARF4-AS1
963	DENND6A-AS1
964	C3orf67
965	PTPRG
966	FEZF2
967	LINC00698
968	SYNPR-AS1
969	C3orf49
970	PSMD6-AS1
971	ADAMTS9
972	MAGI1-AS1
973	SUCLG2-AS1
974	TAFA4
975	LMOD3
976	SAMMSON
977	FOXP1-AS1
978	FOXP1-IT1
979	GPR27
980	LINC00877
981	GXYLT2
982	LINC00960
983	LINC02008
984	LINC00971
985	CADM2-AS1
986	CSNKA2IP
987	STX19
988	OR5H14
989	ST3GAL6-AS1
990	TMEM45A
991	ABI3BP
992	IMPG2
993	LINC02085
994	ZPLD1
995	LINC01990
996	MYH15
997	GUCA1C
998	MORC1
999	NECTIN3-AS1
1000	CD96
1001	PHLDB2
1002	TAGLN3
1003	C3orf52
1004	SLC9C1
1005	CD200R1
1006	BOC
1007	CFAP44-AS1
1008	ZDHHC23
1009	ZBTB20-AS1
1010	ZBTB20-AS5
1011	ZBTB20-AS2
1012	ZBTB20-AS3
1013	ZBTB20-AS4
1014	LSAMP-AS1
1015	LINC00903
1016	LINC02024
1017	UPK1B
1018	B4GALT4-AS1
1019	ARHGAP31-AS1
1020	CD80
1021	POPDC2
1022	GPR156
1023	FSTL1
1024	HGD
1025	POLQ
1026	FBXO40
1027	ILDR1
1028	CASR
1029	CSTA
1030	SEMA5B
1031	ITGB5-AS1
1032	ALDH1L1
1033	KLF15
1034	CFAP100
1035	CHST13
1036	MCM2
1037	KIAA1257
1038	H1FX-AS1
1039	EFCAB12
1040	ALG1L2
1041	LINC02021
1042	COL6A6
1043	ACKR4
1044	NPHP3-AS1
1045	SLCO2A1
1046	AMOTL2
1047	KY
1048	IL20RB-AS1
1049	CLDN18
1050	ESYT3
1051	RBP2
1052	GRK7
1053	ATP1B3-AS1
1054	PCOLCE2
1055	PAQR9
1056	CHST2
1057	SLC9A9-AS1
1058	PLOD2
1059	PLSCR4
1060	PLSCR2
1061	ZIC1
1062	CP
1063	ANKUB1
1064	ERICH6
1065	ERICH6-AS1
1066	SIAH2-AS1
1067	P2RY14
1068	P2RY12
1069	IGSF10
1070	AADACL2-AS1
1071	SUCNR1
1072	MBNL1-AS1
1073	P2RY1
1074	LINC02006
1075	ARHGEF26-AS1
1076	ARHGEF26
1077	GPR149
1078	MME
1079	TIPARP-AS1
1080	LINC00880
1081	VEPH1
1082	IQCJ
1083	SCHIP1
1084	C3orf80
1085	TRIM59
1086	SPTSSB
1087	LINC02067
1088	SLITRK3
1089	BCHE
1090	ZBBX
1091	SERPINI2
1092	WDR49
1093	LINC02082
1094	MECOM
1095	SEC62-AS1
1096	SLC7A14-AS1
1097	EIF5A2
1098	TMEM212-AS1
1099	SPATA16
1100	NAALADL2-AS3
1101	NAALADL2-AS2
1102	LINC01208
1103	TBL1XR1-AS1
1104	LINC02015
1105	CCDC39
1106	SOX2
1107	LAMP3
1108	KLHL6-AS1
1109	MAP6D1
1110	ABCC5-AS1
1111	VWA5B2
