schema_version	case_id	display_rank	current_symbol	category_count	sex_apoe_group_count	broad_network_count	total_returned_call_count	acat_combined_category_count	singleton_category_count	best_returned_run_q_acat_score	median_returned_run_q_acat_score	source_analysis_id	source_category_aggregate_sha256
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	1	RPS15	12	6	5	28	4	8	4.5741181951196e-14	0.0012887795418616	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	2	RPL11	10	6	4	29	5	5	5.345767658619889e-11	5.674038807215569e-05	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	3	RPLP1	9	5	3	17	2	7	1.20910989273421e-05	0.0007134704421109	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	4	RPL15	9	4	3	12	2	7	2.94635808575063e-05	0.0014455385376793	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	5	SELENOW	8	6	2	19	4	4	1.1533190603478022e-07	0.010994905778252401	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	6	SELENOM	8	6	2	15	4	4	0.0004092379503007	0.00523458772788755	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	7	LAMTOR5	6	4	2	21	5	1	3.8586837289677546e-05	0.00473723008784555	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	8	GABARAPL2	6	5	2	19	4	2	0.0002410135741399	0.00764817416388895	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	9	PGAM1	6	4	2	7	1	5	0.0006081997554207	0.01392403003188395	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	10	GAPDH	6	4	4	14	3	3	0.0037575234127848	0.0159336624123442	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	11	RPS13	5	4	2	13	3	2	8.858956152972912e-08	1.71950580346548e-06	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	12	LAGE3	5	5	1	12	2	3	0.000232264638385	0.0162863391772278	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	13	BEX3	5	4	3	8	2	3	0.0010045811873007	0.0059394495148065	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
phase20_simple_aggr_non_mt_figure_v1_recurrence_plot_data_v1	non_mt_driver	14	TTC8	5	5	2	8	1	4	0.0011046052418504	0.0296198891549834	phase20_simple_returned_only_acat_v1	4e0ab4204ba837ec7ca0d5920e27f2557849f6acbc0d92189d5737193eab8ebd
