schema_version	check_id	severity	observed	expected	passed
phase18_three_case_circular_checks_v1	phase18_validation_status	error	validated_complete	validated_complete	TRUE
phase18_three_case_circular_checks_v1	phase18_source_checks	error	12	12	TRUE
phase18_three_case_circular_checks_v1	phase18_source_hashes	error	6	6	TRUE
phase18_three_case_circular_checks_v1	case_count	error	3	3	TRUE
phase18_three_case_circular_checks_v1	plot_rows_per_case	error	35|35|35	35|35|35	TRUE
phase18_three_case_circular_checks_v1	occupied_slots_by_case	error	27|15|21	27|15|21	TRUE
phase18_three_case_circular_checks_v1	occupied_top5_reconciliation	error	63	63	TRUE
phase18_three_case_circular_checks_v1	occupied_annotation_join	error	63	63	TRUE
phase18_three_case_circular_checks_v1	maximum_display_rank	error	5	5	TRUE
phase18_three_case_circular_checks_v1	explicit_empty_network_cases	error	3	3	TRUE
phase18_three_case_circular_checks_v1	excluded_no_run_networks	error	CAMs|T_cells	CAMs|T_cells	TRUE
phase18_three_case_circular_checks_v1	case1_core_mito_membership	error	27	27	TRUE
phase18_three_case_circular_checks_v1	case3_noncore_mito_membership	error	21	21	TRUE
phase18_three_case_circular_checks_v1	display_score_range	error	0.0936854..1	(0,1]	TRUE
phase18_three_case_circular_checks_v1	m_minus_one_link_rule	error	26	26	TRUE
phase18_three_case_circular_checks_v1	empty_slots_have_no_candidate_values	error	42	42	TRUE
phase18_three_case_circular_checks_v1	figure_files_nonempty	error	9	9	TRUE
phase18_three_case_circular_checks_v1	svg_vector_content	error	3	3	TRUE
phase18_three_case_circular_checks_v1	pdf_headers	error	3	3	TRUE
phase18_three_case_circular_checks_v1	png_dimensions	error	5400x3240 each	5400x3240 each	TRUE
phase18_three_case_circular_checks_v1	png_dpi_metadata	error	450	450	TRUE
phase18_three_case_circular_checks_v1	source_and_output_hashes_recorded	error	21	21	TRUE
