schema_version	case_id	current_symbol	selected_network_count_within_case	anchor_broad_network	target_broad_network	anchor_sector_mid_degrees	target_sector_mid_degrees	anchor_negative_log10_acat_q	target_negative_log10_acat_q	link_rule
phase18_three_case_circular_links_v1	case1_core_mito_in_query	COX4I1	2	Excitatory_neurons	Astrocytes	15.8571428571429	48.7142857142857	8.44414052713726	3.19619512183473	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	COX7C	2	Inhibitory_neurons	Astrocytes	-54.1428571428572	58	5.62170242411656	4.18479049493672	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-ATP6	2	Astrocytes	Vasculature_cells	67.2857142857143	-241.285714285714	4.80231243487914	3.39804485364047	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	Astrocytes	34.4285714285714	85.8571428571429	20.4966873288309	12.2021441811257	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	Inhibitory_neurons	34.4285714285714	-17	20.4966873288309	17.8448500249748	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	Microglia	34.4285714285714	-68.4285714285714	20.4966873288309	14.4971242717364	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	OPCs	34.4285714285714	-129.142857142857	20.4966873288309	3.51779622893222	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	Oligodendrocytes	34.4285714285714	-171.285714285714	20.4966873288309	13.3276943734554	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO2	7	Excitatory_neurons	Vasculature_cells	34.4285714285714	-232	20.4966873288309	6.0372028265708	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO3	4	Vasculature_cells	Astrocytes	-222.714285714286	76.5714285714286	13.6245429051885	8.48970497502189	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO3	4	Vasculature_cells	Inhibitory_neurons	-222.714285714286	-26.2857142857143	13.6245429051885	7.93104289603864	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CO3	4	Vasculature_cells	OPCs	-222.714285714286	-119.857142857143	13.6245429051885	8.65511338591595	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-CYB	2	Inhibitory_neurons	Excitatory_neurons	-35.5714285714286	-2.71428571428572	7.87979575359989	5.30077320722053	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-ND4	4	Oligodendrocytes	Microglia	-180.571428571429	-77.7142857142857	3.24131404931503	2.18154360168782	highest_uncapped_evidence_to_each_other_occurrence
