schema_version	figure_family	family_directory	output_files	failed_checks	validation_status
phase13_figure_package_status_v1	modifier_landscape	results/figures/analysis/phase13_respiratory_modifier/modifier_landscape	9	0	validated_complete
phase13_figure_package_status_v1	direct_respiratory_forest	results/figures/analysis/phase13_respiratory_modifier/direct_respiratory_forest	9	0	validated_complete
phase13_figure_package_status_v1	testability_qc	results/figures/analysis/phase13_respiratory_modifier/testability_qc	9	0	validated_complete
phase13_figure_package_status_v1	stratum_effects	results/figures/analysis/phase13_respiratory_modifier/stratum_effects	9	0	validated_complete
phase13_figure_package_status_v1	stability_atlas	results/figures/analysis/phase13_respiratory_modifier/stability_atlas	9	0	validated_complete
phase13_figure_package_status_v1	gene_support_atlas	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas	18	0	validated_complete
