scenario_id	method_branch	rds_id	cell_type_high_resolution	representative_role	contrast_id	contrast_name	contrast_role	gene	gene_role	donors_ad	donors_nci	minimum_detectable_log2_effect	minimum_detectable_fold_change	achieved_power	mde_status	schema_version	execution_stage	output_status	target_power	interpretation
power_scenario_001	pseudobulk_edgeR_known_dispersion	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	5	8	NA	NA	0.22	target_not_reached_in_grid	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_001	paper_like_mast_hurdle	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	5	8	NA	NA	0.23	target_not_reached_in_grid	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_002	pseudobulk_edgeR_known_dispersion	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-CO3	high_detection	5	8	NA	NA	0.75	target_not_reached_in_grid	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_002	paper_like_mast_hurdle	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-CO3	high_detection	5	8	0.75	1.68179283050743	0.9	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_003	pseudobulk_edgeR_known_dispersion	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	limiting	MT-ND6	low_detection	7	6	NA	NA	0.4	target_not_reached_in_grid	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_003	paper_like_mast_hurdle	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	limiting	MT-ND6	low_detection	7	6	1	2	0.91	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_004	pseudobulk_edgeR_known_dispersion	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	limiting	MT-CO2	high_detection	7	6	NA	NA	0.58	target_not_reached_in_grid	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_004	paper_like_mast_hurdle	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	limiting	MT-CO2	high_detection	7	6	0.25	1.18920711500272	0.87	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_005	pseudobulk_edgeR_known_dispersion	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	better_powered	MT-ND6	low_detection	37	45	0.5	1.4142135623731	0.87	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_005	paper_like_mast_hurdle	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	better_powered	MT-ND6	low_detection	37	45	0.25	1.18920711500272	0.82	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_006	pseudobulk_edgeR_known_dispersion	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	better_powered	MT-CO2	high_detection	37	45	0.5	1.4142135623731	0.96	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
power_scenario_006	paper_like_mast_hurdle	oligodendrocytes	Oli	abundant	oligodendrocytes::Oli::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	better_powered	MT-CO2	high_detection	37	45	0.25	1.18920711500272	0.92	target_reached	power_mde_v1	minerva_production	final	0.8	production_mde_from_prespecified_grid
