scenario_id	rds_id	cell_type_high_resolution	representative_role	contrast_id	contrast_name	contrast_role	gene	gene_role	observed_detection_probability	observed_mean_count_per_nucleus	observed_positive_mean	observed_donor_dispersion	donors_ad	donors_nci	observed_nuclei_ad	observed_nuclei_nci	effect_log2	effect_fold_change	method_branch	grid_id	schema_version	execution_stage	output_status	repetitions
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0	1	pseudobulk_edgeR_known_dispersion	power_grid_0001	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0	1	paper_like_mast_hurdle	power_grid_0002	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.25	1.18920711500272	pseudobulk_edgeR_known_dispersion	power_grid_0003	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.25	1.18920711500272	paper_like_mast_hurdle	power_grid_0004	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.3785116	1.29999997904627	pseudobulk_edgeR_known_dispersion	power_grid_0005	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.3785116	1.29999997904627	paper_like_mast_hurdle	power_grid_0006	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.5	1.4142135623731	pseudobulk_edgeR_known_dispersion	power_grid_0007	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.5	1.4142135623731	paper_like_mast_hurdle	power_grid_0008	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.75	1.68179283050743	pseudobulk_edgeR_known_dispersion	power_grid_0009	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	0.75	1.68179283050743	paper_like_mast_hurdle	power_grid_0010	power_grid_v1	minerva_production	final	100
power_scenario_001	inhibitory	Inh L5-6 SST TH	rare	inhibitory::Inh.L5.6.SST.TH::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	limiting	MT-ND6	low_detection	0.0610418664109939	0.0460048426150121	1	0.294834034572749	5	8	178	235	1	2	pseudobulk_edgeR_known_dispersion	power_grid_0011	power_grid_v1	minerva_production	final	100
