schema_version	route_id	candidate_id	gene	priority_tier	signature_group	sex	apoe_group	broad_network	qtl_type	context_match	sex_apoe_match	qtl_finemapping_rows	source_significant_rows	credible_set_95_rows	min_qtl_p	min_qtl_fdr	max_pip	qtl_signal	evidence_state
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0001_eQTL	GS19B0009	APOE	P2	F_e2	Female	e2	Astrocytes	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	8	0	0	1.1270345993957406e-05	0.0803803009299112	0.216250350586013	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0001_sQTL	GS19B0009	APOE	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	245	37	9	3.61732499324386e-29	1.9247786289050575e-25	0.999999999999537	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0002_eQTL	GS19B0065	FAU	P2	F_e2	Female	e2	Astrocytes	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	2	0	0	8.208538885917251e-05	0.2427654766242694	0.0710048069913134	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0002_sQTL	GS19B0065	FAU	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	15	0	0	3.83908721217364e-05	0.0282882995651187	0.112985752563016	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0003_eQTL	GS19B0153	RPL11	P2	F_e2	Female	e2	Astrocytes	eQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	208	0	104	4.597379737218982e-06	0.0109925681350679	0.93890535166986	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0003_sQTL	GS19B0153	RPL11	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	24	0	0	6.74739674781547e-06	0.0133058663866921	0.3875816278342	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0004_eQTL	GS19B0154	RPL15	P2	F_e2	Female	e2	Astrocytes	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	5	0	0	1.7503029484397594e-05	0.1482610920246834	0.0358809267250715	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0004_sQTL	GS19B0154	RPL15	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	45	14	7	4.79093636683973e-07	0.0001934845628519	0.586925553332968	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0005_eQTL	GS19B0163	RPLP1	P2	F_e2	Female	e2	Astrocytes	eQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	230	0	0	3.538095470211374e-06	0.0623412421851244	0.486557581941617	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0005_sQTL	GS19B0163	RPLP1	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	47	6	5	8.113557240253101e-24	1.921290354491934e-20	0.999999999990953	True	source_significant
