label	seurat_version	seuratobject_version	mast_version	r_version	matrix_version	variant	tested_genes	yu_degs	current_degs	shared_degs	recall	precision	median_abs_p_difference	median_abs_fdr_difference	spearman_p	median_abs_p_difference_from_stored_baseline	max_abs_p_difference_from_stored_baseline
mast_1.26	5.5.1	5.4.0	1.26.0	4.5.3	1.7.4	default	16051	209	185	173	0.827751196172249	0.935135135135135	2.65468647916382e-05	0.00298875082932016	0.946557389978443	5.6621374255883e-15	7.7367556805541e-12
mast_1.28	5.5.1	5.4.0	1.28.0	4.5.3	1.7.4	default	16051	209	185	173	0.827751196172249	0.935135135135135	2.65468647916382e-05	0.00298875082932016	0.946557389978443	5.6621374255883e-15	7.7367556805541e-12
mast_1.30	5.5.1	5.4.0	1.30.0	4.5.3	1.7.4	default	16051	209	185	173	0.827751196172249	0.935135135135135	2.65468647916382e-05	0.00298875082932016	0.946557389978443	5.6621374255883e-15	7.7367556805541e-12
mast_1.32	5.5.1	5.4.0	1.32.0	4.5.3	1.7.4	default	16051	209	185	173	0.827751196172249	0.935135135135135	2.65468647916382e-05	0.00298875082932016	0.946557389978443	5.6621374255883e-15	7.7367556805541e-12
seurat_5.0.1_mast_1.28	5.0.1	5.0.1	1.28.0	4.5.3	1.7.4	default	16051	209	185	173	0.827751196172249	0.935135135135135	2.65468647916382e-05	0.00298875082932016	0.946557389978443	5.6621374255883e-15	7.7367556805541e-12
age90_as_92.5	5.5.1	5.4.0	1.28.0	4.5.3	1.7.4	age_90plus=92.5	16051	209	182	172	0.822966507177033	0.945054945054945	3.33433204144964e-05	0.00308407315011507	0.953496503496504	0.0148238172319209	0.423452864398334
age90_as_95	5.5.1	5.4.0	1.28.0	4.5.3	1.7.4	age_90plus=95	16051	209	204	184	0.880382775119617	0.901960784313725	4.11007825349794e-05	0.00426999304451193	0.928103475471896	0.0256476158529098	0.61161116097241
zlm_glm	5.5.1	5.4.0	1.28.0	4.5.3	1.7.4	zlm_method=glm	16051	209	195	179	0.856459330143541	0.917948717948718	2.4628438131721e-05	0.0028700674948839	0.940555497134445	2.11871087749671e-05	0.528219734630997
zlm_no_ebayes	5.5.1	5.4.0	1.28.0	4.5.3	1.7.4	ebayes=FALSE	16051	209	548	204	0.976076555023923	0.372262773722628	4.13773858897449e-05	0.00502271096769995	0.79221962248278	0.0354858007264119	0.991921142448047
