schema_version	method_branch	comparison_id	terminal_status	genes	unique_state_patterns	permutations_configured	permutations_completed_per_pattern	seed	null_score_min	null_score_median_of_pattern_medians	null_score_max	empirical_p_definition	fdr_method
similarity_permutation_diagnostics_v1	pseudobulk	female_vs_male_all_apoe	validated_complete	25303	8642	10000	10000	20270811	-0.2	0	0.0625	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e2_vs_e33_all_sexes	validated_complete	25248	3122	10000	10000	20270911	-0.3	0	0.108695652173913	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e4_vs_e33_all_sexes	validated_complete	25283	7480	10000	10000	20271011	-0.25	0	0.166666666666667	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	female_vs_male_e2	validated_complete	25193	319	10000	10000	20271111	-0.5	0	0	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	female_vs_male_e33	validated_complete	25303	8480	10000	10000	20271211	-0.5	0	0.333333333333333	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	female_vs_male_e4	validated_complete	25278	6361	10000	10000	20271311	-0.5	0	0	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e2_vs_e33_Female	validated_complete	25248	2978	10000	10000	20271411	-0.5	0	0.0769230769230769	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e2_vs_e33_Male	validated_complete	25193	356	10000	10000	20271511	-0.5	0	0.166666666666667	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e4_vs_e33_Female	validated_complete	25281	7132	10000	10000	20271611	-0.5	0	0.333333333333333	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	pseudobulk	e4_vs_e33_Male	validated_complete	25280	6599	10000	10000	20271711	-0.5	0	0	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	female_vs_male_all_apoe	validated_complete	15161	13610	10000	10000	20280811	-1	-0.0425531914893617	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e2_vs_e33_all_sexes	validated_complete	14728	9770	10000	10000	20280911	-1	-0.0666666666666667	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e4_vs_e33_all_sexes	validated_complete	14973	12519	10000	10000	20281011	-1	-0.0357142857142857	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	female_vs_male_e2	validated_complete	13546	4773	10000	10000	20281111	-1	-0.214285714285714	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	female_vs_male_e33	validated_complete	14764	8765	10000	10000	20281211	-1	-0.0263157894736842	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	female_vs_male_e4	validated_complete	14839	10139	10000	10000	20281311	-1	-0.05	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e2_vs_e33_Female	validated_complete	14697	6272	10000	10000	20281411	-1	-0.05	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e2_vs_e33_Male	validated_complete	13359	3868	10000	10000	20281511	-1	-0.1875	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e4_vs_e33_Female	validated_complete	14905	9755	10000	10000	20281611	-1	-0.0441176470588235	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
similarity_permutation_diagnostics_v1	mast	e4_vs_e33_Male	validated_complete	14508	8958	10000	10000	20281711	-1	-0.0416666666666667	1	one_sided_in_observed_direction_plus_one_correction	BH_within_method_branch_and_comparison
