schema_version	method_branch	comparison_family	comparison_id	first_level	second_level	fixed_level	paired_dimensions	paired_genes	result_rows	terminal_status
similarity_comparison_status_v1	pseudobulk	primary_paper	female_vs_male_all_apoe	Female	Male	NA	85	25303	25303	validated_complete
similarity_comparison_status_v1	pseudobulk	primary_paper	e2_vs_e33_all_sexes	e2	e33	NA	32	25248	25248	validated_complete
similarity_comparison_status_v1	pseudobulk	primary_paper	e4_vs_e33_all_sexes	e4	e33	NA	71	25283	25283	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	female_vs_male_e2	Female	Male	e2	10	25193	25193	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	female_vs_male_e33	Female	Male	e33	41	25303	25303	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	female_vs_male_e4	Female	Male	e4	34	25278	25278	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	e2_vs_e33_Female	e2	e33	Female	22	25248	25248	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	e2_vs_e33_Male	e2	e33	Male	10	25193	25193	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	e4_vs_e33_Female	e4	e33	Female	36	25281	25281	validated_complete
similarity_comparison_status_v1	pseudobulk	stratified_extension	e4_vs_e33_Male	e4	e33	Male	35	25280	25280	validated_complete
similarity_comparison_status_v1	mast	primary_paper	female_vs_male_all_apoe	Female	Male	NA	85	15161	15161	validated_complete
similarity_comparison_status_v1	mast	primary_paper	e2_vs_e33_all_sexes	e2	e33	NA	32	14728	14728	validated_complete
similarity_comparison_status_v1	mast	primary_paper	e4_vs_e33_all_sexes	e4	e33	NA	71	14973	14973	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	female_vs_male_e2	Female	Male	e2	10	13546	13546	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	female_vs_male_e33	Female	Male	e33	41	14764	14764	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	female_vs_male_e4	Female	Male	e4	34	14839	14839	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	e2_vs_e33_Female	e2	e33	Female	22	14697	14697	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	e2_vs_e33_Male	e2	e33	Male	10	13359	13359	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	e4_vs_e33_Female	e4	e33	Female	36	14905	14905	validated_complete
similarity_comparison_status_v1	mast	stratified_extension	e4_vs_e33_Male	e4	e33	Male	35	14508	14508	validated_complete
