feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
18631	SORCS1	ENSG00000108018	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0974202319758377	TRUE		TRUE		-0.268537959923826	0.179362427504364	1.02248453482749	5210
18633	LINC01435	ENSG00000229981	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.132653252480068	TRUE		TRUE		-0.307120642460063	0.140336180203055	0.607809545427811	5211
18637	ADD3-AS1	ENSG00000203876	exact	unique_symbol	78	78	TRUE	TRUE	TRUE	0.226924975708499	TRUE		TRUE		-0.711954500900651	0.00407145118834386	0.519500494354521	5212
18638	ADD3	ENSG00000148700	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0835155175341291	TRUE		TRUE		-0.444369698133199	0.00974305749253292	0.365727342784792	5213
18643	DUSP5	ENSG00000138166	phase18_exact	phase18	78	73	TRUE	TRUE	TRUE	0.278904948775349	TRUE		TRUE		-0.306164476603757	0.269746043972878	3.41779647830708	5214
18645	RBM20	ENSG00000203867	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.214524462375457	TRUE		TRUE		-0.768723519841337	-0.0663939971617374	0.500551254953709	5215
18652	SHOC2	ENSG00000108061	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0691053194514944	TRUE		TRUE		-0.378358593224824	-0.0703309480188471	0.278159694172868	5216
18653	ADRA2A	ENSG00000150594	phase18_exact	phase18	72	72	TRUE	TRUE	TRUE	0.198570442608649	TRUE		TRUE		-0.695940865026008	-0.0666070208522746	0.433608030751642	5217
18658	ACSL5	ENSG00000197142	phase18_exact	phase18	52	74	TRUE	TRUE	TRUE	0.505095731534178	TRUE		TRUE		-0.832279388191063	0.00602376946824614	0.951961424730435	5218
18665	AL158212.1	ENSG00000225292	unique_alias	unique_symbol	78	77	TRUE	TRUE	TRUE	0.114549344921886	TRUE		TRUE		-0.320204247321763	0.0621366990066762	0.582238775757009	5219
18666	TCF7L2	ENSG00000148737	phase18_exact	phase18	78	78	TRUE	TRUE	TRUE	0.0827647063525692	TRUE		TRUE		-0.679052924279837	-0.120497266415367	0.248944099333753	5220
18669	HABP2	ENSG00000148702	phase18_exact	phase18	78	74	TRUE	TRUE	TRUE	0.207716001182205	TRUE		TRUE		-0.690534731726662	-0.0868605226935916	0.456945180755091	5221
18670	NRAP	ENSG00000197893	phase18_exact	phase18	23	74	TRUE	TRUE	TRUE	0.768506796852241	TRUE		TRUE		-1.34268661706206	-0.110245158685253	0.923886953103751	5222
18671	CASP7	ENSG00000165806	phase18_exact	phase18	71	77	TRUE	TRUE	TRUE	0.823555415762312	TRUE		TRUE		-0.91529909528275	0.207861012479188	1.29842662259382	5223
18673	PLEKHS1	ENSG00000148735	phase18_exact	phase18	17	72	TRUE	TRUE	TRUE	1.82332745342254	TRUE		TRUE		-1.40098277182565	-0.137540548853706	1.75714034714019	5224
