schema_version	case_id	atlas_display_order	current_symbol	is_core_mito	extended_reference_member	circle_gene	circle_display_network_count	circle_display_networks	passing_broad_network_count	passing_broad_networks	explicitly_tested_run_count	significant_kda_run_count	significant_kda_run_fraction	conservative_supporting_run_count	conservative_supporting_run_fraction	significant_fine_cell_type_count	significant_fine_cell_types	supporting_fine_cell_type_count	supporting_fine_cell_types	supporting_group_count	supporting_groups	supporting_direction_count	supporting_directions	passing_context_supporting_run_count	passing_context_supporting_fine_cell_type_count	best_aggregate_acat_q	best_aggregate_acat_q_network	worst_aggregate_acat_q	worst_aggregate_acat_q_network
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	1	RPL11	FALSE	FALSE	TRUE	4	Astrocytes|Excitatory_neurons|Microglia|Oligodendrocytes	4	Astrocytes|Excitatory_neurons|Microglia|Oligodendrocytes	84	29	0.34523809523809523	25	0.2976190476190476	16	Ast CHI3L1|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc L6b|Exc NRGN|Exc RELN CHD7|Mic P2RY12|Oli	15	Ast CHI3L1|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L5/6 NP|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7|Mic P2RY12|Oli	6	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	2	AD_down_mito|AD_up_mito	25	15	1.8402234017260841e-09	Excitatory_neurons	0.028037203698568353	Oligodendrocytes
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	2	RPS15	FALSE	FALSE	TRUE	2	Inhibitory_neurons|OPCs	3	Excitatory_neurons|Inhibitory_neurons|OPCs	90	26	0.28888888888888886	25	0.2777777777777778	19	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh ENOX2 SPHKAP|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2|Mic P2RY12|OPC	18	Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 NP|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2|Mic P2RY12|OPC	5	F_e2|F_e33|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	23	16	3.967753027356026e-12	OPCs	0.03674556777659455	Excitatory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	3	LAMTOR5	FALSE	FALSE	TRUE	2	Excitatory_neurons|Inhibitory_neurons	2	Excitatory_neurons|Inhibitory_neurons	73	20	0.273972602739726	17	0.2328767123287671	13	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh VIP CLSTN2	13	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh VIP CLSTN2	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	17	13	0.0025876540730208103	Excitatory_neurons	0.004139415668393983	Inhibitory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	4	RPLP1	FALSE	FALSE	TRUE	2	Astrocytes|Inhibitory_neurons	2	Astrocytes|Inhibitory_neurons	79	15	0.189873417721519	14	0.17721518987341772	10	Ast CHI3L1|Ast GRM3|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2|OPC	9	Ast CHI3L1|Ast GRM3|Inh CUX2 MSR1|Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1|Inh RYR3 TSHZ2|Inh VIP CLSTN2	4	F_e2|F_e4|M_e2|M_e4	2	AD_down_mito|AD_up_mito	14	9	0.002379975749166637	Astrocytes	0.0056437065250551	Inhibitory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	5	SELENOW	FALSE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	83	16	0.1927710843373494	15	0.18072289156626506	10	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc NRGN|Inh LAMP5 NRG1 (Rosehip)	10	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc NRGN|Inh LAMP5 NRG1 (Rosehip)	4	F_e2|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	14	9	5.751965982889878e-06	Excitatory_neurons	5.751965982889878e-06	Excitatory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	6	RPS13	FALSE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	72	12	0.16666666666666666	10	0.1388888888888889	10	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA|Exc NRGN|Exc RELN CHD7	8	Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L3-5 RORB PLCH1|Exc L4-5 RORB GABRG1|Exc L4-5 RORB IL1RAPL2|Exc L5-6 RORB LINC02196|Exc L5/6 IT Car3|Exc L6 THEMIS NFIA	3	F_e2|F_e4|M_e2	2	AD_down_mito|AD_up_mito	10	8	5.3915709052029135e-06	Excitatory_neurons	5.3915709052029135e-06	Excitatory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	7	ATP6V1F	FALSE	FALSE	TRUE	1	Inhibitory_neurons	1	Inhibitory_neurons	62	5	0.08064516129032258	5	0.08064516129032258	4	Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh RYR3 TSHZ2	4	Inh L3-5 SST MAFB|Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh RYR3 TSHZ2	3	F_e4|M_e2|M_e4	1	AD_down_mito	5	4	0.026291210484152734	Inhibitory_neurons	0.026291210484152734	Inhibitory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	8	APOE	FALSE	FALSE	TRUE	1	Astrocytes	1	Astrocytes	14	4	0.2857142857142857	4	0.2857142857142857	3	Ast CHI3L1|Ast DPP10|Ast GRM3	3	Ast CHI3L1|Ast DPP10|Ast GRM3	3	F_e2|M_e2|M_e4	2	AD_down_mito|AD_up_mito	4	3	0.012710318724587031	Astrocytes	0.012710318724587031	Astrocytes
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	9	RPL38	FALSE	FALSE	TRUE	1	Inhibitory_neurons	1	Inhibitory_neurons	52	3	0.057692307692307696	3	0.057692307692307696	3	Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1	3	Inh LAMP5 NRG1 (Rosehip)|Inh PVALB HTR4|Inh PVALB SULF1	1	M_e2	1	AD_down_mito	3	3	0.04103795315258487	Inhibitory_neurons	0.04103795315258487	Inhibitory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	10	RPL15	FALSE	FALSE	TRUE	1	Astrocytes	1	Astrocytes	96	10	0.10416666666666667	8	0.08333333333333333	8	Ast DPP10|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc L5/6 IT Car3|Exc NRGN|Exc RELN CHD7	7	Ast DPP10|Ast GRM3|Exc L2-3 CBLN2 LINC02306|Exc L3-4 RORB CUX2|Exc L4-5 RORB GABRG1|Exc NRGN|Exc RELN CHD7	4	F_e2|F_e4|M_e2|M_e33	2	AD_down_mito|AD_up_mito	3	2	0.0037138697510189543	Astrocytes	0.0037138697510189543	Astrocytes
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	11	DYNLT1	FALSE	FALSE	TRUE	1	Excitatory_neurons	1	Excitatory_neurons	41	2	0.04878048780487805	2	0.04878048780487805	2	Exc L3-4 RORB CUX2|Exc L6 THEMIS NFIA	2	Exc L3-4 RORB CUX2|Exc L6 THEMIS NFIA	2	F_e33|M_e2	2	AD_down_mito|AD_up_mito	2	2	0.0025876540730208103	Excitatory_neurons	0.0025876540730208103	Excitatory_neurons
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	12	LAPTM4A	FALSE	FALSE	TRUE	1	Astrocytes	1	Astrocytes	9	2	0.2222222222222222	2	0.2222222222222222	2	Ast DPP10|Ast GRM3	2	Ast DPP10|Ast GRM3	1	M_e2	1	AD_down_mito	2	2	0.012710318724587031	Astrocytes	0.012710318724587031	Astrocytes
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	13	ANKRD11	FALSE	FALSE	TRUE	1	OPCs	1	OPCs	45	2	0.044444444444444446	2	0.044444444444444446	1	OPC	1	OPC	2	F_e33|M_e2	2	AD_down_mito|AD_up_mito	2	1	0.0007117827820485487	OPCs	0.0007117827820485487	OPCs
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	14	FTL	FALSE	FALSE	TRUE	1	OPCs	1	OPCs	21	2	0.09523809523809523	2	0.09523809523809523	1	OPC	1	OPC	2	F_e33|M_e2	2	AD_down_mito|AD_up_mito	2	1	0.00021897723579791776	OPCs	0.00021897723579791776	OPCs
phase18_non_mt_evidence_atlas_v2_gene_summary_v1	non_mt_driver	15	NCOA1	FALSE	TRUE	TRUE	1	OPCs	1	OPCs	9	1	0.1111111111111111	1	0.1111111111111111	1	OPC	1	OPC	1	F_e4	1	AD_down_mito	1	1	0.04592314890755612	OPCs	0.04592314890755612	OPCs
