schema_version	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	circle_displayed	within_case_rank	evidence_tier	eligible_run_count	usable_run_count	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	stability_assessable	is_core_mito	extended_reference_member
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	1	RPL11	1	Astrocytes	Astrocytes	#009E73	TRUE	1	tier1_recurrent_stable	21	20	0.9523809523809523	3	1.7776559635829543e-08	3.440356841520878e-05	4.463396509095327	4.463396509095327	3	1.0	0.6666666666666666	0.6666666666666666	1.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	1	RPL11	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	1	tier1_recurrent_stable	97	97	1.0	20	6.503322187746793e-13	1.8402234017260841e-09	8.735129450769028	8.735129450769028	14	1.0	1.0	1.0	1.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	1	RPL11	4	Microglia	Microglia	#CC79A7	TRUE	1	tier2_localized_or_unstable	6	6	1.0	1	8.039825966182713e-06	0.010583090913485178	1.975387473073541	1.975387473073541	2	1.0	0.5	0.5	1.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	1	RPL11	6	Oligodendrocytes	Oligodendrocytes	#F0E442	TRUE	1	tier_not_assessable	2	2	1.0	1	1.8158810685601265e-05	0.028037203698568353	1.5522653030748415	1.5522653030748415	0	NA	NA	NA	NA	FALSE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	2	RPS15	2	Excitatory_neurons	Excitatory neurons	#E69F00	FALSE	20	tier1_recurrent_stable	97	97	1.0	10	0.00014284412022942872	0.03674556777659455	1.4347950377022978	1.4347950377022978	14	1.0	0.9285714285714286	0.9285714285714286	21.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	2	RPS15	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	1	tier1_recurrent_stable	28	28	1.0	11	1.285122422488673e-06	0.0013200043168133655	2.879424648517515	2.879424648517515	12	1.0	1.0	1.0	1.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	2	RPS15	5	OPCs	OPCs	#56B4E9	TRUE	1	tier_not_assessable	6	6	1.0	2	5.864252183499891e-16	3.967753027356026e-12	11.40145536832092	11.40145536832092	0	NA	NA	NA	NA	FALSE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	3	LAMTOR5	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	4	tier1_recurrent_stable	97	93	0.9587628865979382	12	4.082987826979987e-06	0.0025876540730208103	2.5870937821840485	2.5870937821840485	14	1.0	1.0	1.0	9.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	3	LAMTOR5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	2	tier1_recurrent_stable	28	26	0.9285714285714286	5	5.181466066139895e-06	0.004139415668393983	2.383060960787999	2.383060960787999	12	1.0	1.0	1.0	4.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	4	RPLP1	1	Astrocytes	Astrocytes	#009E73	TRUE	2	tier1_recurrent_stable	21	21	1.0	3	2.4594995685497456e-06	0.002379975749166637	2.623427468177425	2.623427468177425	3	1.0	0.6666666666666666	0.6666666666666666	2.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	4	RPLP1	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	3	tier1_recurrent_stable	28	28	1.0	11	7.84938320591808e-06	0.0056437065250551	2.248435577813319	2.248435577813319	12	1.0	1.0	1.0	3.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	5	SELENOW	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	3	tier1_recurrent_stable	97	97	1.0	14	4.7430512286758335e-09	5.751965982889878e-06	5.240183691033884	5.240183691033884	14	1.0	1.0	1.0	3.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	6	RPS13	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	2	tier1_recurrent_stable	97	95	0.979381443298969	10	3.810746310662914e-09	5.3915709052029135e-06	5.268284678957524	5.268284678957524	14	1.0	1.0	1.0	3.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	7	ATP6V1F	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	4	tier1_recurrent_stable	28	28	1.0	5	5.484953508515869e-05	0.026291210484152734	1.580189417907116	1.580189417907116	12	1.0	0.9166666666666666	0.9166666666666666	4.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	8	APOE	1	Astrocytes	Astrocytes	#009E73	TRUE	4	tier1_recurrent_stable	21	21	1.0	4	2.0726873539087566e-05	0.012710318724587031	1.8958435589193308	1.8958435589193308	3	1.0	0.6666666666666666	0.6666666666666666	4.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	9	RPL38	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	5	tier1_recurrent_stable	28	26	0.9285714285714286	3	9.132228796124589e-05	0.04103795315258487	1.38681430863469	1.38681430863469	12	1.0	0.9166666666666666	0.9166666666666666	5.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	10	RPL15	1	Astrocytes	Astrocytes	#009E73	TRUE	3	tier1_recurrent_stable	21	21	1.0	3	5.11728522358795e-06	0.0037138697510189543	2.4301733314539793	2.4301733314539793	3	1.0	1.0	1.0	3.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	11	DYNLT1	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	5	tier1_recurrent_stable	97	83	0.8556701030927835	2	4.267541173552992e-06	0.0025876540730208103	2.5870937821840485	2.5870937821840485	14	1.0	0.9285714285714286	0.9285714285714286	6.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	12	LAPTM4A	1	Astrocytes	Astrocytes	#009E73	TRUE	5	tier1_recurrent_stable	21	21	1.0	2	2.1891696046481277e-05	0.012710318724587031	1.8958435589193308	1.8958435589193308	3	1.0	1.0	1.0	5.0	TRUE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	13	ANKRD11	5	OPCs	OPCs	#56B4E9	TRUE	3	tier_not_assessable	6	6	1.0	2	5.259996911384487e-07	0.0007117827820485487	3.147652521743449	3.147652521743449	0	NA	NA	NA	NA	FALSE	FALSE	FALSE
phase18_non_mt_evidence_atlas_v2_gene_network_details_v1	non_mt_driver	14	FTL	5	OPCs	OPCs	#56B4E9	TRUE	2	tier_not_assessable	6	6	1.0	2	9.709306937536999e-08	0.00021897723579791776	3.6596010307361815	3.6596010307361815	0	NA	NA	NA	NA	FALSE	FALSE	FALSE
