TMEM249	ATP7A
RECQL4	CDCA7
RPL8	RPS27
RPL8	NHP2
RPL8	TRMT112
RPL8	RPS17
RPL8	MIF
RPL8	RPL10
DNAJA1	CACYBP
DNAJA1	HSPD1
DNAJA1	HSPA5
DNAJA1	STIP1
DNAJA1	SERPINH1
DNAJA1	HSPA8
TPM2	TAGLN
SHB	PDLIM1
TJP2	FZD4
ALDH1A1	NT5E
SYK	DOCK2
ROR2	SVEP1
ROR2	LPAR1
ROR2	TC2N
ECM2	TJP2
ECM2	TPCN1
ECM2	C16orf89
ECM2	PVR
BAAT	GBP7
BAAT	TEDC2
LPAR1	COL6A3
SHOC1	RBMS3-AS3
SHOC1	PTPRG-AS1
SHOC1	COL10A1
TMEM268	SLC5A6
OLFML2A	NID2
SLC25A25-AS1	BLOC1S3
PKN3	ITGA2
PKN3	MMRN2
PKN3	PCAT19
RPL7A	RHOC
RPL7A	PSMB4
RPL7A	S100A11
RPL7A	BTF3
RPL7A	CUTA
RPL7A	MRPS24
RPL7A	C12orf57
RPL7A	C14orf119
RPL7A	OAZ1
RPL7A	RPL18
RPL7A	RTL8A
RPL7A	LAGE3
OLFM1	STMN4
PHPT1	CCDC121
PAXX	MEA1
UAP1L1	PXN-AS1
GRIN1	FAIM2
GRIN1	RBFOX3
NRARP	SUSD4
AKR1C3	AKR1C1
AKR1C3	AKR1C2
LINC02649	PLCG2
BICC1	USP53
SRGN	S1PR1
SRGN	FAM107A
SRGN	CDKN1A
SRGN	CD59
SRGN	KCTD12
SRGN	SLCO4A1
SRGN	MTFP1
PCBD1	DPH6
PCBD1	JMJD6
ADIRF	MYL9
ADIRF	ADRM1
KIF11	LINC01388
CALY	UCHL1
CALY	CKB
CALY	ARHGDIG
CALY	SEZ6L2
CALY	PCSK1N
IFITM2	RAB13
IFITM3	PDLIM4
IFITM3	TOMM5
IFITM3	IFITM2
IFITM3	MT1A
IFITM3	SELENOM
SIGIRR	RRAS
PANO1	FAM167A-AS1
PANO1	LPAR2
TOLLIP-AS1	NPR3
ART5	FBXL22
ART5	ABCC11
CCKBR	SMIM30
RPS13	POLR2I
ANO3	FAM66C
ANO3	GPCPD1
KCNA4	PYCR1
MPPED2	PIK3CD
MPPED2	CCDC141
MPPED2	STAC
MPPED2	MELTF
MPPED2	INPP4B
MPPED2	GPC5
CD59	SEMA3F
CD59	TM4SF1
PAMR1	COL4A5
MS4A6A	CIART
ASRGL1	PIK3C2B
COX8A	NDUFB10
COX8A	ANAPC11
STIP1	CHORDC1
STIP1	FKBP4
STIP1	ABHD3
TRMT112	CDKN2D
TRMT112	C19orf53
FAU	RPS7
FAU	RPL8
FAU	TSSC4
FAU	RPS2
FAU	MRPL34
FAU	SNRPD3
FAU	NDUFA6
FAM89B	EVA1B
FAM89B	DCXR
FOSL1	CSRNP1
FOSL1	P2RX6
CARNS1	MTMR7
CDK2AP2	VAMP5
CDK2AP2	SNCG
CDK2AP2	SERTAD1
GSTP1	KRTCAP2
GSTP1	DBI
GSTP1	H2AFZ
RSF1-IT2	TMEM114
CCDC83	ZMYM4-AS1
PRSS23	LAMA3
FZD4	TIE1
FZD4	ANXA3
CHORDC1	AP003469.4
