sensitivity_id	method_branch	rds_id	cell_type_high_resolution	contrast_id	contrast_name	entity_type	entity	primary_effect	sensitivity_effect	primary_fdr	sensitivity_fdr	terminal_status	bad_primary_effect	bad_sensitivity_effect	bad_primary_fdr	bad_sensitivity_fdr
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	VPS13D			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	CASP9			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SLC25A34			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SDHB			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	AKR7A2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MUL1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	PINK1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	HMGCL			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MTFR1L			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ATP5IF1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MECR			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	AK2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPS15			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	GRIK3			0.00524413317307031	0.0794130310253061	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NDUFS5			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	TRIT1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
