schema_version	sensitivity_id	rds_id	cell_type_high_resolution	samples	eligible_contrasts	completed_contrasts	terminal_status	message	repetitions_planned	repetitions_with_any_result	execution_stage	output_status
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	astrocytes	Ast CHI3L1	104	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	astrocytes	Ast DPP10	226	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	astrocytes	Ast GRM3	249	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set1	Exc L2-3 CBLN2 LINC02306	272	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set2	Exc L3-4 RORB CUX2	268	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set2	Exc L3-5 RORB PLCH1	249	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set2	Exc L4-5 RORB GABRG1	262	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set2	Exc L4-5 RORB IL1RAPL2	269	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L5 ET	20	0	0	not_estimable	no contrast retained at sensitivity eligibility threshold	NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L5-6 RORB LINC02196	232	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L5/6 IT Car3	211	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L5/6 NP	210	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L6 CT	220	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L6 THEMIS NFIA	261	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc L6b	222	10	10	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc NRGN	208	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	excitatory_set3	Exc RELN CHD7	187	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	immune	CAMs	12	0	0	not_estimable	no contrast retained at sensitivity eligibility threshold	NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	immune	Mic MKI67	3	0	0	not_estimable	no contrast retained at sensitivity eligibility threshold	NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	immune	Mic P2RY12	258	14	14	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	immune	Mic TPT1	57	1	1	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	immune	T cells	14	0	0	not_estimable	no contrast retained at sensitivity eligibility threshold	NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh ALCAM TRPM3	157	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh CUX2 MSR1	192	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh ENOX2 SPHKAP	171	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh FBN2 EPB41L4A	93	5	5	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh GPC5 RIT2	58	3	3	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh L1 PAX6 CA4	60	3	3	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh L1-2 PAX6 SCGN	2	0	0	not_estimable	no contrast retained at sensitivity eligibility threshold	NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh L1-6 LAMP5 CA13	209	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh L3-5 SST MAFB	211	8	8	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
sensitivity_model_diagnostics_v1	primary_fraction_refit_parity	inhibitory	Inh L5-6 PVALB STON2	59	3	3	validated_complete		NA	NA	minerva_production	partial_with_blocked_sensitivities
