schema_version	check	passed	observed	expected
sensitivity_checks_v1	primary_fraction_refit_parity	TRUE	2.22044604925031e-15	<1e-8
sensitivity_checks_v1	all_prespecified_sensitivities_have_terminal_status	TRUE	alternative_age_pmi_encoding;alternative_external_mitochondrial_sets;donor_bootstrap;flagged_nuclei_exclusion;global_vs_within_contrast_fdr;leave_one_donor_out;normalization_sctransform;nuclei_minimum_50;per_object_vs_results_only_harmonization;pseudobulk_vs_mast;validated_batch_covariate	alternative_age_pmi_encoding;alternative_external_mitochondrial_sets;donor_bootstrap;flagged_nuclei_exclusion;global_vs_within_contrast_fdr;leave_one_donor_out;normalization_sctransform;nuclei_minimum_50;per_object_vs_results_only_harmonization;pseudobulk_vs_mast;validated_batch_covariate
sensitivity_checks_v1	terminal_status_vocabulary	TRUE	blocked_missing_input;validated_complete	declared_terminal_status
sensitivity_checks_v1	no_failed_sensitivity	TRUE	0	0
sensitivity_checks_v1	completed_results_have_fdr	TRUE	1779842	1779842
sensitivity_checks_v1	effect_applicable_results_have_effect	TRUE	1769081	1769081
sensitivity_checks_v1	effect_nonapplicable_results_have_reason	TRUE	10761	10761
sensitivity_checks_v1	effect_nonapplicable_results_are_prespecified_omnibus	TRUE	10761	10761
sensitivity_checks_v1	omnibus_effect_applicability_toy	TRUE	fdr_only_omnibus	fdr_only_omnibus
sensitivity_checks_v1	bootstrap_repetitions_complete	TRUE	1000	1000
sensitivity_checks_v1	blocked_sensitivities_have_reason	TRUE	4	all_have_message
sensitivity_checks_v1	nonfinal_pilot_label	TRUE	partial_with_blocked_sensitivities	partial_with_blocked_sensitivities
sensitivity_checks_v1	result_keys_unique	TRUE	0	0
sensitivity_checks_v1	upstream_artifacts_unchanged	TRUE	unchanged	unchanged
