schema_version	figure_family	check_id	blocking	passed	observed	expected	detail
phase15_figure_package_v1	primary_coupling_geometry	plotted_data_nonempty	TRUE	TRUE	1416	>0	
phase15_figure_package_v1	primary_coupling_geometry	vector_and_raster_outputs_present	TRUE	TRUE	.pdf|.png|.svg	.pdf|.png|.svg	
phase15_figure_package_v1	primary_coupling_geometry	outputs_nonempty	TRUE	TRUE	3	3	
phase15_figure_package_v1	primary_coupling_geometry	colorblind_safe_palette_configured	TRUE	TRUE	PuOr_r, viridis-derived sequential maps, Okabe-Ito categories	colorblind-safe palettes	
phase15_figure_package_v1	primary_coupling_geometry	grayscale_redundant_encoding_configured	TRUE	TRUE	status symbols, borders, hatching, and labels supplement color	color is not the sole status encoding	
phase15_figure_package_v1	primary_coupling_geometry	minimum_text_size_configured	TRUE	TRUE	7 pt	>=7 pt	
phase15_figure_package_v1	primary_coupling_geometry	no_significance_stars	TRUE	TRUE	none	none	Exact q values and statuses are used.
phase15_figure_package_v1	primary_coupling_geometry	primary_context_count	TRUE	TRUE	3	3	
phase15_figure_package_v1	primary_coupling_geometry	primary_donor_context_rows	TRUE	TRUE	820	820	Astrocytes, excitatory neurons, and inhibitory neurons.
phase15_figure_package_v1	primary_coupling_geometry	primary_general_endpoint_count	TRUE	TRUE	9	9	
phase15_figure_package_v1	primary_coupling_geometry	heldout_predictions_joined	TRUE	TRUE	425	>0	Assignment 0 only.
phase15_figure_package_v1	primary_coupling_geometry	production_status_hash_recorded	TRUE	TRUE	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	1b032bde2e11ee20fb7e64e3afc416284ba4771451bb4a84c93d560c3619fc01	
