schema_version	analysis_scope	signature_group	sex	apoe_group	broad_network	current_symbol	case_id	is_core_mito	mitocarta_canonical_symbol	mito_tier	genome_origin	returned_call_count	returned_fine_cell_type_count	returned_fine_cell_types	returned_signature_group_count	returned_signature_groups	returned_broad_network_count	returned_broad_networks	returned_direction_count	returned_directions	minimum_returned_within_call_q	median_returned_within_call_q	maximum_returned_within_call_q	acat_of_returned_within_call_q	returned_run_q_acat_score	requested_final_q	final_value_method	input_statistic	inferential_status	multiple_testing_after_acat	additional_across_gene_bh_applied	formal_fdr_controlled_q	returned_run_ids	rank
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	COX4I1	mt_driver	TRUE	COX4I1	core_mito_protein	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	1.35933045827028e-06	1.35933045827028e-06	1.35933045827028e-06	NA	1.35933045827028e-06	1.35933045827028e-06	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	1
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	RPL11	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	3.57261226311138e-06	3.57261226311138e-06	3.57261226311138e-06	NA	3.57261226311138e-06	3.57261226311138e-06	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	2
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	COX7C	mt_driver	TRUE	COX7C	core_mito_protein	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	6.23502046297963e-06	6.23502046297963e-06	6.23502046297963e-06	NA	6.23502046297963e-06	6.23502046297963e-06	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	3
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	RPL13	mt_driver	TRUE	MRPL13	core_mito_protein	nuclear	2	2	Ast CHI3L1|Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	5.62597718517247e-05	0.006369518517198412	0.0126827772625451	0.00011202287880756627	0.00011202287880756627	0.00011202287880756627	acat_of_returned_within_call_q_values	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_CHI3L1_F_e2_AD_up_mito|primary_Ast_GRM3_F_e2_AD_up_mito	4
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	RPL15	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	0.00031064136917447	0.00031064136917447	0.00031064136917447	NA	0.00031064136917447	0.00031064136917447	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	5
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	RPLP1	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	0.00031064136917447	0.00031064136917447	0.00031064136917447	NA	0.00031064136917447	0.00031064136917447	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	6
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	FAU	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	0.000572077748754674	0.000572077748754674	0.000572077748754674	NA	0.000572077748754674	0.000572077748754674	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	7
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	AKAP10	mt_driver	TRUE	AKAP10	core_mito_protein	nuclear	1	1	Ast DPP10	1	F_e2	1	Astrocytes	1	AD_down_mito	0.000646374462575717	0.000646374462575717	0.000646374462575717	NA	0.000646374462575717	0.000646374462575717	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_DPP10_F_e2_AD_down_mito	8
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	MYO9A	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast DPP10	1	F_e2	1	Astrocytes	1	AD_down_mito	0.00161305141585529	0.00161305141585529	0.00161305141585529	NA	0.00161305141585529	0.00161305141585529	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_DPP10_F_e2_AD_down_mito	9
phase20_simple_returned_only_acat_v1_category_gene_aggregates_v1	signature_group_by_broad_network	F_e2	Female	e2	Astrocytes	RPS15	non_mt_driver	FALSE	NA	non_mito	nuclear	1	1	Ast GRM3	1	F_e2	1	Astrocytes	1	AD_up_mito	0.00180966430147916	0.00180966430147916	0.00180966430147916	NA	0.00180966430147916	0.00180966430147916	singleton_within_call_q_passthrough	stock_within_call_bh_q	exploratory_postselection	none	FALSE	FALSE	primary_Ast_GRM3_F_e2_AD_up_mito	10
